tagName,Count,Excerpt
"organic-chemistry","8025","Use this tag for questions relating to organic molecules and their properties (structure of organic molecules, spectroscopic properties, reaction mechanisms, stereochemistry etc). DO NOT use this tag as the only tag in your question, as this tag by itself cannot appropriately classify your question. Always use this tag in addition to other more specific tags."
"inorganic-chemistry","3742","Inorganic compounds generally do not have C-H bonds, while organic compounds do have such bonds. The distinction between inorganic and organic chemistry, however, is far from absolute. "
"physical-chemistry","3512","The study of chemical systems using the laws and concepts of physics. This usually requires the techniques of thermodynamics, statistical mechanics and quantum mechanics."
"acid-base","2543","This tag should be applied to questions concerning acid and base reactions. An acid is capable of donating a hydron/ proton (Brønsted acid) or capable of forming a covalent bond with an electron pair (Lewis acid). A base on the other hand is a chemical species/ molecular entity having an available pair of electrons capable of forming a covalent bond with a hydron/ proton (Brønsted base) or with the vacant orbital of some other species (Lewis base)."
"reaction-mechanism","2219","The detailed (and as complete as possible) description of plausible or observable pathways leading from reactants to products of a chemical process. This tag should be applied to questions about these processes. It may be applied to hypothetical and/or proposed mechanisms."
"thermodynamics","1997","Applicable to questions about heat, energy, work, and their interconversion in chemistry. See the tag wiki for a detailed list of topics. Questions tagged may also be tagged with [enthalpy], [energy], [free-energy] where appropriate."
"everyday-chemistry","1469","Applications of chemistry to reagents, reactions and processes of everyday life. Use this tag for question on chemistry in an out-of-laboratory/class context. DO NOT use this tag merely because the question is about simple chemistry."
"electrochemistry","1361","The branch of chemistry that deals with the study of redox reactions and how they can be applied to generate electricity (in electrochemical cells) and to carry out non-spontaneous reactions using electricity (electrolysis)."
"experimental-chemistry","1334","This tag should be applied to questions relating to the theory, design, techniques or performance of chemical experiments. This includes but is not limited to theoretical structures, expected products, thermal calculations, and empirical analysis. Additional tags should be applied to narrow down the field of research."
"equilibrium","1299","The state in which both reactants and products are present at concentrations which have no further tendency to change with time."
"redox","1170","Redox is the portmanteau of reduction and oxidation. This tag should be used in questions where both the reduction and the oxidation process are under focus. This tag is not limited to inorganic chemistry. If the question is specifically about either reduction or oxidation (not both) of an organic compound, use [organic-reduction] or [organic-oxidation] instead."
"quantum-chemistry","1165","Quantum chemistry is a subfield of quantum mechanics. Like its parent field, quantum chemistry focuses on understanding physical phenomena occuring at the atomic scale. Quantum chemistry however is more focused on providing useful descriptions of electronic structure to aid in understanding chemical problems (e.g. reactions, spectra, dynamics, ...)."
"bond","1142","For questions about chemical bonds (ionic/covalent/etc.), their properties (length, energy, angle, etc.) or their relation to other molecular properties (intermolecular forces/dipole moment/etc.). Do not confuse this tag with [lewis-structures], [dipole], [intermolecular-forces], etc."
"aqueous-solution","947","For questions relating to compounds dissolved in water and resulting reactions and acid-base equilibria."
"computational-chemistry","928","A field which employs computers to model and study chemical systems and chemical behavior, using various models, from approximations of the Schrödinger equation to Monte-Carlo simulations, to modeling with differential equations."
"nomenclature","908","This tag should be used for questions about the naming of compounds and elements, usually using systematic names according to IUPAC recommendations, but also using retained traditional names."
"water","888","For questions relating to water (H₂O), specifically its structure, properties, and uses in chemistry. For questions not about water but rather about solutions in water, use tags [aqueous-solution] or [solubility] instead."
"kinetics","847","The study of rates and steps in mechanisms of chemical processes."
"solubility","818","For questions related to the solubility of compounds in various solvents, especially in water. Do not confuse with [solutions] or [aqueous-solution]."
"biochemistry","804","This tag is for questions concerning biochemical methods (e.g. electrophoresis) or those concerning biochemical mechanisms or research. Do not use this tag if your question is merely about compounds often used in areas related to biochemistry or associated with these. These may fall under organic chemistry or the appropriate compound’s functional groups’ tags."
"analytical-chemistry","800","The branch of chemistry concerned with identifying and quantifying the chemical constituents of matter."
"solutions","765","This tag should be applied to questions dealing with solutions of any kind. A solution is a liquid or solid phase containing more than one substance where, for convenience, one (or more) substance(s) called the solvent is treated differently from the other substances, which are called solutes. If water is the solvent, then the more appropriate 'aqueous-solution' tag should (also) be specified."
"aromatic-compounds","723","For questions about the properties and reactions of aromatic compounds. This tag should also be applied to antiaromatic compounds. This tag should not be applied to general questions about resonance, use the [resonance] tag instead."
"ph","713","pH (or the potential of hydrogen) is a scale used to measure how acidic or basic an aqueous solution is."
"homework","662","DEPRECATED. DON'T USE THIS TAG."
"coordination-compounds","639","This tag is for questions concerning coordination compounds including but not limited to ligand properties, metal properties, orbital splitting, micro- and macroscopic properties of entire complexes etc. For complexes where carbon monoxide is the only ligand, use the [carbonyl-complexes] tag instead. For organic catalysts or proteins, the tag is applicable if the question is about the metal’s direct coordination sphere."
"synthesis","629","Synthesis is a purposeful execution of chemical reactions to obtain the desired product.
Applies to long and complex natural product syntheses as much as to short one or two-step syntheses. This also covers synthetic problem sets and retrosynthetic analyses. "
"stereochemistry","628","Applicable to questions about the spatial arrangement of atoms in a molecule and how they affect its physical or chemical properties."
"gas-laws","602","Physical and chemical laws describing the properties and behavior of gases. This tag currently applies to properties and laws concerning both ideal and real gases."
"spectroscopy","586","Use this tag for questions about spectroscopic methods in practice and in theory, especially where more specific tags for the individual method (such as [nmr-spectroscopy] or [ir-spectroscopy]) are not available."
"molecular-orbital-theory","581","Use of molecular orbital (MO) theory allows for an understanding of the observed properties (shape, reactivity) of molecules. The tag should be applied to all questions related to MO theory, from questions about the qualitative use of the theory to questions about the underlying quantum mechanics and applications in computational chemistry. "
"concentration","577","The concentration characterizes the composition of a mixture with respect to the volume of the mixture. There are mass, amount, number and volume concentrations. Related and within the scope of this tag are normality, molality, mole fraction/ratio, mass fraction/ratio."
"stoichiometry","564","Stoichiometry refers to the relationship between the amounts of substances of the reactants and the amount of substances of the formed products. This tag should be used for specific questions about chemical reaction equations. "
"carbonyl-compounds","558","For questions about compounds containing the carbonyl group, C=O, the carboxylic acid group (-COOH), or its derivatives (anhydrides/esters/amides/acid halides). For questions about complexes involving carbon monoxide as a ligand use [carbonyl-complexes] instead."
"ions","547","For questions about ions - atomic or molecular particles having a net electric charge. Do NOT use this tag just because your question involves ions but is not about the ions themselves (as in electrochemistry, etc.)."
"energy","542","For questions relating to the energy required for or produced by reactions, including questions of endothermicity/exothermicity, bond enthalpy, etc."
"molecular-structure","540","This tag should be applied to questions that deal with the particular arrangement of atoms in a molecule, the so-called molecular structure or geometry. "
"home-experiment","529","For questions about a small-scale experiment which can be undertaken with reagents readily available around the house, while observing standard laboratory safety principles and practices. Do not confuse this tag with [everyday-chemistry] or [food-chemistry]."
"electrons","489","Electrons are subatomic particles with the symbol e−. They have a negative electric charge (-1 elementary charge. )"
"theoretical-chemistry","483","For questions seeking answers deduced from or composed of theories regarding the chemical substances and about models and methods of theoretical chemistry."
"orbitals","481","An orbital is a one-electron wavefunction, usually derived by solving the Schrodinger equation. This tag applies to questions about all forms of orbitals; additionally, questions about the construction and properties of molecular orbitals should be tagged with [molecular-orbital-theory]."
"metal","466","For questions about metals in general and their physical or chemical properties. For characteristic properties and reactions of d and f block metals specifically, use the [transition-metals] and [rare-earth-elements] tags respectively instead."
