tagName,Count,Excerpt
"algorithms","8639","An algorithm is a sequence of well-defined steps that defines an abstract solution to a problem. Use this tag when your issue is related to design and analysis of algorithms."
"complexity-theory","4122","Questions related to the (computational) complexity of solving problems"
"graphs","3685","Questions about graphs, discrete structures of nodes which are connected by edges. Popular flavors are trees and networks with edge capacity."
"formal-languages","2296","Questions related to formal languages, grammars, and automata theory"
"turing-machines","1853","Questions about Turing machines, a theoretical model of mechanical computation capable of simulating any computer program."
"time-complexity","1740","The amount of time resources (number of atomic operations or machine steps) 
required to solve a problem expressed in terms of input size. If your question concerns algorithm analysis, use the [runtime-analysis] tag instead. If your question concerns whether or not a computation will *ever* finish, use the [computability] tag instead. Time-complexity is perhaps the most important sub-topic of complexity theory."
"algorithm-analysis","1678","Questions about the science and art of determining properties of algorithms, often including correctness, runtime and space usage.  Use the [runtime-analysis] tag for questions about the runtime of algorithms."
"data-structures","1654","Questions about ways of storing data so that it can be used advantageously by algorithms."
"computability","1614","Questions related to computability theory, a.k.a. recursion theory"
"optimization","1388","Questions about problems that entail selecting the best element from some set of available alternatives, and methods to solve them."
"automata","1362","Questions about mathematical devices that read an input stream symbol by symbol and use a state transition map to produce an output stream, maybe using secondary storage."
"regular-languages","1359","Questions about properties of the class of regular languages and individual languages."
"finite-automata","1301","Questions about finite automata, an elementary automaton model with finite memory. It is equivalent to regular languages and the basis for many more complex models."
"context-free","1292","Questions about the set of languages (equivalently) described by context-free grammars or accepted by (non-deterministic) pushdown automata."
"np-complete","1202","Questions about the hardest problems in NP, i.e. of those that can be solved in polynomial time by nondeterministic Turing machines."
"asymptotics","1114","Questions about asymptotic notations and analysis"
"terminology","1042","Questions about how specific notions have to be understood as well as conventions of notation."
"formal-grammars","1023","Questions about formal grammars, generative descriptions of formal languages."
"machine-learning","1009","Questions about computer algorithms that automatically discover patterns in data and make good decisions based on them."
"reductions","1004","In computability and complexity, finding mappings between problems that allow solving one problem using a solution of another one. For reduction in programming language theory (e.g. beta-reduction), see [lambda-calculus] or [term-rewriting]."
"reference-request","890","Questions requesting papers in the literature on specific, narrow issues."
"computer-architecture","878","Questions about the organization and design of computer hardware."
"runtime-analysis","865","Questions about methods for estimating the increase in runtime of an algorithm as the input size increases."
"programming-languages","827","Questions related to design, implementation, and analysis of programming languages. NOT for questions about how to program, which are off-topic on this site."
"logic","793","Questions related to mathematical logic and its use in computer science"
"sorting","692","the algorithmic problem of ordering a set of elements with respect to some ordering relation."
"undecidability","689","Questions about problems which cannot be solved by any Turing machine."
"dynamic-programming","668","Questions about problems that can be solved by combining recursively obtained solutions of subproblems."
"trees","654","Questions about a special kind of graphs, namely connected and cycle-free ones."
"computational-geometry","647","Questions about algorithmic solutions of geometric problems, or other algorithms making usage of geometry."
"regular-expressions","609","Questions about regular expressions, a formalism to describe regular languages."
"operating-systems","594","Questions about the principles of software that interfaces between hardware and applications."
"np-hard","577","decision problems that are at least as hard as NP-complete problems"
"proof-techniques","575","Questions about general methods and techniques for proving multiple theorems. When asking about the proof of a single statement, use tags relating to what the proof is about instead. "
"combinatorics","562","Questions related to combinatorics and discrete mathematical structures"
"search-algorithms","556","Algorithms for finding an element in some specified data-structure (most commonly, in a tree)."
"recurrence-relation","546","a definition of a sequence where later elements are expressed as a function of earlier elements."
"np","523","Questions about decision problems that can be solved on nondeterministic Turing machines in time polynomial in the length of the input."
"shortest-path","520","Questions about the algorithmic problems of finding shortest paths between nodes in a graph."
"compilers","496","Questions about programs that read code in one language (source language) and translate it into an equivalent program in another language (target language)."
"satisfiability","472","Satisfiability (SAT) is the problem of determining whether there is a variable assignment that fulfills a given Boolean formula."
"artificial-intelligence","470","Questions about design and properties of agents that act in a dynamic environment and make decisions towards some goal without user control."
"binary-trees","448","a tree in which each node has no more than two children"
"approximation","435","Questions about algorithms that solve problems up to some bounded error."
"type-theory","434","formal systems to specify properties of objects"
"lambda-calculus","434","λ-calculus is a formal system for function definition, function application and recursion which forms the mathematical basis of functional programming.
"
"arrays","427","A sequential random-access data structure whose size can typically not be changed after creation."
"recursion","424","Questions about objects such as functions, algorithms or data structures that are expressed using ""smaller"" instances of themselves."
"neural-networks","420","Network structure inspired by simplified models of biological neurons (brain cells).  Neural networks are trained to ""learn"" by supervised and unsupervised techniques, and can be used to solve optimization problems, approximation problems, classify patterns, and combinations thereof. "
"pushdown-automata","413","Questions about state machines with a single stack for memory. They characterize the class of context-free languages."
"decision-problem","401","A question in some formal system with a yes-or-no answer."
"strings","397","Questions about sequences of symbols, sets thereof and their properties as well as uses."
"complexity-classes","396","Questions about relationships between complexity classes."
"pumping-lemma","393","Necessary properties of formal langagues in certain classes that rely on closure against repetition of certain subwords.  Make sure your question isn't covered by applying the techniques in https://cs.stackexchange.com/q/1031/755."
"computation-models","381","The definition of the set of allowable operations used for computation and their respective costs. Some examples of models include Turing machines, recursive functions, lambda calculus, and production systems."
"space-complexity","378","Asymptotic analyses of the space needed to run algorithms."
"probability-theory","372","Questions about the branch of mathematics concerned with modelling and analysing random phenomena."
"discrete-mathematics","361","Questions about discrete mathematics, the study of mathematical structures that are fundamentally discrete rather than continuous."
"graph-traversal","352","Questions about graph traversal algorithms such as BFS and DFS."
"parsers","330","Questions about algorithms that decide whether a given string belongs to a fixed formal language."
"sets","326","Questions about finite and infinite sets and multisets, related data structures and concepts."
"distributed-systems","322","Questions about the challenges of solving problems with multiple cooperating but separate agents."
"closure-properties","320","Questions about operations on objects of some kind that result in objects of the same kind."
"randomized-algorithms","317","Questions about algorithms whose behaviour is determined not only by its input but also by a source of random numbers."
"linear-programming","310","Optimization with a linear objective function, subject to linear equality and linear inequality constraints."
