tagName,Count,Excerpt
"linux","34900","Linux is the generic term for a UNIX-like open source operating system based on the Linux kernel."
"apache-2.2","17072","Version 2.2 of the Apache HTTP Server.

When asking questions about virtualhosts, please include the output of the following command: ""apache2ctl -S"" (or ""httpd -S"" depending on your OS)"
"windows","15822","Windows is the brand name for a series of operating systems from Microsoft. 
Instead of tagging a post ""Windows"", try to use a more specific tag, like windows-7, windows-xp or windows-server-2008-r2 ."
"ubuntu","14426","Ubuntu Linux is a Debian derivative that aims to bring Linux mainstream. Questions on this site should generally refer to Ubuntu Server. Note that http://askubuntu.com is specifically dedicated to Ubuntu questions."
"nginx","14295","Nginx (""eNgine x"") is a lightweight, high-performance HTTP server, reverse proxy, TCP stream proxy and mail proxy, released under a BSD-like license."
"networking","13891","Networking refers to the technologies and techniques that enable the interconnection of devices and applications allowing them to communicate electronically."
"domain-name-system","10984","The Domain Name System, usually referred to by the acronym DNS, is a hierarchical, distributed database where the keys are domain names. Questions involving publicly accessible domains should include the real, Fully Qualified Domain Name (FQDN)"
"centos","9975","CentOS is a free (as in beer and speech) GNU/Linux distribution that is community driven and based on source code released from RedHat.
"
"active-directory","9228","A Microsoft technology that constitutes an LDAP directory service with centralized management functionality for user accounts, computer accounts, groups, and configuration management across many Windows servers and desktops."
"windows-server-2008","8995","Windows Server 2008 is a Microsoft server operating system released in February 2008. It is the successor to Windows Server 2003 and is based on the Windows Vista codebase. It was succeeded by Windows Server 2008 R2.

This tag should only be used for questions related to Windows Server 2008. If your question is about Windows Server 2008 R2, please use the Windows-Server-2008-R2 tag.
"
"mysql","8057","MySQL is an open-source database owned by Oracle.
"
"ssh","7831","Secure Shell (SSH) is a protocol primarily for encrypted shell connections. This tag is also used for questions about sshd and openssh, the two standard applications for using SSH."
"php","7391","PHP is a general-purpose scripting language that is especially suited for Web development. The online manual is an excellent resource for the language syntax and has an extensive list of the built-in and extension functions. Most extensions can be found in PECL."
"amazon-web-services","7199","Amazon Web Services (AWS) delivers a set of services that together form a reliable, scalable, and inexpensive computing platform ""in the cloud"". If you have a question about a specific web service, consider asking on its tag, e.g., amazon-ec2."
"debian","6649","Debian is a popular and influential GNU/Linux distribution. Questions here should generally be about Debian Server."
"security","6380","Security is not a product, but a process."
"ssl","6228","SSL and its successor, TLS, are encryption and authentication protocols that encrypt the full contents of a TCP connection, as well as potentially verifying the identities of the devices making the connection."
"email","6077","The server configuration of email, including POP3, SMTP, IMAP, and popular server software packages that control email."
"amazon-ec2","6057","Amazon Elastic Compute Cloud (EC2) provides self-service, on-demand, pay-for-what-you-use computing infrastructure resources."
"iptables","5706","iptables is the userspace command line program used to configure the Linux 2.4.x and 2.6.x IPv4 packet filtering ruleset. It is targeted towards system administrators.   
  
Please, when asking a question about iptables, add the output from the following command:
iptables -L -v -n
"
"postfix","5593","Free and open source mail transfer agent (MTA) that routes and delivers email. When asking about postfix problem, please include the relevant maillog lines and output of the following command: `postconf -n` (non-default content of main.cf) and `postconf -M` (content of master.cf)"
"windows-server-2003","5358","Windows Server 2003 is a Microsoft server operating system released in April 2003. It is the successor to Windows Server 2000 and is based on the Windows XP codebase. It was succeeded by Windows Server 2008.
"
"windows-server-2008-r2","5270","Windows Server 2008 R2 is an operating system from Microsoft. It is an update of Windows Server 2008. Unlike Server 2003 R2, this R2 is a fully new Operating System. It is only available in 64-bit versions."
"iis","5001","IIS is Internet Information Services, the web server included with Microsoft's Windows Server operating systems.

This is a generic tag. Wherever possible please use a *version-specific* tag, such as [iis-7], [iis-7.5], etc."
"apache-2.4","4919","Version 2.4 of the Apache HTTPd Server. When asking questions about virtualhosts, please include the output of the following command: ""apache2ctl -S"" (or ""httpd -S"" depending on your OS)"
"sql-server","4636","Questions related to Microsoft SQL Server. If your question is version specific please tag it specifically for that version as well. Does your SQL Server question belong here or on another site? Click the about the sql-server tag link on the line below."
"vpn","4474","VPN is the acronym for Virtual Private Network - a network type that uses a the Internet to provide remote networks or single machines with secure access to their organization's network avoiding expensive leased lines."
"firewall","3777","A Firewall is an application or hardware device used to inspect and filter network traffic."
"backup","3766","Making copies of data so that the copies may be used to restore the original after a data loss event, or for historical retention."
"windows-server-2012-r2","3762","Windows Server 2012 R2 is a server operating system from Microsoft. It was published on May 31st of 2013. It contains many substantial changes over it predecessor, and substantially streamlines the number of available versions, which are down to four: Foundation, Essentials, Standard and Datacenter."
"powershell","3598","An interactive shell, scripting and programming language, and surrounding environment from Microsoft. Commonly used by system administrators managing Microsoft software (including Windows, Exchange, SharePoint, and cloud services Azure and Office 365), PowerShell is included by default with Windows, and takes over from previous languages such as VB Script."
"virtualization","3443","Virtualization is a group of software technologies that allow abstraction between layers of a system. This allows separation between the logical layers of the system, providing isolation, flexibility, and/or the ability to run more than one at a time. This differs from most traditional systems where the various layers are inherently tied."
"permissions","3428","In computing, permissions (often called ""privileges,"" ""access rights"" or just ""rights"") are rules associated with objects on a computer or network. Permissions determine which objects can access which objects, and to what extent."
