tagName,Count,Excerpt
"single-word-requests","17863","This tag is for questions seeking a single word that fits a meaning. To ensure that your question is not closed as off-topic, please be specific about the intended use of the word.  INCLUDE A SAMPLE SENTENCE demonstrating how the word would be used.  Click on ""Info"" or ""View Tag"" and ""Learn more ..."" for more information.

Please use the ""phrase-requests"" tag instead if you seek more than just a single word."
"meaning","15105","This tag is for questions related to definitions and nuances of meaning of a word or phrase."
"grammar","11942","This tag is for questions about morphology and syntax, the two elements of grammar. DO NOT USE THIS TAG IF YOUR QUESTION IS ABOUT WHETHER SOMETHING SPECIFIC IS GRAMMATICAL. For such cases use the 'grammaticality' tag. Also do not use this for punctuation or spelling (orthography); those are not about grammar, and they have their own tags."
"word-choice","10514","This tag is for questions about choosing the best word FROM A GIVEN SELECTION for a particular context or meaning. The selection to choose from must appear in the question. If you do not know the word already, use single-word-requests."
"word-usage","6087","This tag is for questions about correctly using a word. The word has to be provided within the question. The question should be limited to the usage of one word. For the usage of complete phrases there is the tag phrase-usage."
"grammaticality","5502","This tag is for questions about whether something obeys the rules of grammar in English. The question must INCLUDE THE SPECIFIC GRAMMATICAL CONCERN.

If your question is about grammar itself, please use the ""grammar"" tag."
"etymology","5362","Etymology is the history of the origin of words and phrases."
"phrases","5221","This tag is for questions about phrases in the linguistic sense. In linguistics a “phrase” is a group of words that make a unit of syntax with a single grammatical function. Use [phrase-requests] if you are searching for a phrase."
"expressions","5139","This tag is for questions about expressions. Expressions are words or phrases used to convey an idea, or else a particular term used conventionally to express something. Consider phrase-requests and expression-requests if you are looking for an expression, phrase-meaning if you are unsure about the usage of a given phrase."
"phrase-requests","4762","This tag is for questions seeking a phrase that fits a meaning. If you're specifically seeking only a single word, see the ""single word requests"" tag too."
"meaning-in-context","4397","This tag is for questions about the meaning of a longer passage of English. A SPECIFIC CONCERN must be emphasized."
"verbs","4128","This tag is for questions about verbs. Verbs are words that express an action, occurrence, or a state of being. Add this tag to single-word-requests if you are looking for a verb. Add the tag word-usage if you are asking about the usage of the verb."
"idioms","3832","Idioms are a group of words established by usage as having a meaning not deducible from those of the individual words. Use [idiom-requests] if you are searching for an idiom with a particular meaning."
"differences","3695","This tag is for questions about the differences in the meaning of two words. For us to be able to help you, please provide the sourced definitions that you are referring to, where the confusion arises, as well as an example sentence that shows the ambiguity."
"prepositions","3662","Prepositions are function words like ""to"", ""over"", ""through"", ""in"". The meaning of a sentence can be dramatically altered by choosing the wrong preposition. Questions need to include enough information for the intended meaning to be deduced."
"nouns","3606","This tag is for questions about nouns. Nouns are words that refer to an entity, quality, state, action, or concept. Add this tag to single-word-requests if you are looking for a noun. Add the tag word-usage if you are asking about the usage of the noun."
"adjectives","3535","Adjectives are just one of several different types of noun modifiers, typically used to premodify or describe a noun. Do not confuse adjectives with nouns used attributively to modify other nouns. Adjectives have comparative and superlative degrees, can be used as predicate adjectives in copulae, and can themselves by modified by intensifiers and adverbs but not by other adjectives. Nouns in attribution fail all those tests."
"synonyms","3218","A synonym is a word that means the same, or almost the same thing, as another word. This tag is for asking about pairs of words. If you're requesting a synonym, please use the ‘single-word-request’ tag."
"american-english","3059","This tag is for questions related to the English language as used in the United States of America."
"terminology","2898","Terminology is a system of terms belonging or peculiar to a science, art, or specialized subject, nomenclature."
"grammatical-number","2796","This tag applies to questions that deal with grammatical number: “singular” versus “plural”, and (rarely) also “dual”."
"punctuation","2636","This tag is for questions about punctuation. This encompasses marks such as the period/full stop, comma, dash, and parentheses, used to separate structural units and perform other roles that clarify the meaning. USE THE 'SYMBOLS' tag for currency symbols, accents and so forth."
"usage","2497","For questions on how and why certain words are used in varying ways within various contexts."
"pronunciation","2325","for questions about the sound, stress, or intonation of spoken words."
"syntactic-analysis","2268","Parsing or syntactic analysis is the process of analysing a string of symbols, conforming to the rules of a formal grammar. "
"british-english","2096","This tag is for questions related to English as used in Great Britain, and sometimes Ireland."
"vocabulary","2050","The vocabulary tag should be used for questions discussing a multitude of words in a certain field. E.g., the vocabulary concerning money or the vocabulary concerning leatherworking."
"tenses","1833","A set of forms taken by a verb to indicate the time and/or completeness and continuance of the action in relation to the time of the utterance."
"commas","1781","The comma is a punctuation character that is placed on the baseline and looks similar to a single quotation mark."
"sentence","1638","A sentence is a set of words that is complete in itself, typically containing a subject and predicate."
"adverbs","1526","An adverb is a word that modifies an adjective, adverb, preposition, phrase, or sentence, expressing some relation of place, time, circumstance, causality, manner, or degree."
"orthography","1449","This tag is for questions concerning the written representation of the English language, especially spelling and word breaks (including hyphenation)."
