tagName,Count,Excerpt
"united-states","4128","For questions specific to the United States as a whole, or that span multiple state jurisdictions. If your question is related to a specific state then you should use that state's tag instead (or as well)."
"copyright","1870","For questions about the property right inherent in a creative work.  Please see the tag wiki and FAQ before asking the question."
"criminal-law","1097","For questions about laws related to crime."
"contract-law","1085","For questions about laws related to contracts, an agreement between two or more parties."
"united-kingdom","1068","For questions specific to the United Kingdom. Note that the UK does not have a common legal system across its jurisdictions - consider using [scotland] or [england-and-wales] or [northern-ireland]."
"intellectual-property","686","For questions concerning the ownership of ideas, designs and creative work. Specific IP tags include copyright, trademark, and patents."
"internet","649","For questions about the internet. Please ensure a tag for the jurisdiction is also included. This tag should not be used when the question does not crucially hinge on internet usage or involvement."
"contract","602","Contracts are verbal or written agreements that parties enter consensually, exchanging consideration. Use this tag when the question is about contracts, or one or more elements of a contract."
"software","597","For questions involving programming underlying computers and machines. Consider using the [open-source-software] tag if the question is about open source software or licensing."
"privacy","555","For questions about freedom from unsolicited observation, or the collection, use and distribution of private information."
"employment","545","For questions that are about, or that arise as a result of, workplaces or the performance of work-related duties."
"licensing","543","For questions about permission and terms to use intellectual property."
"gdpr","522","Questions about the European Union General Data Protection Regulation (GDPR)"
"canada","484","For questions specific to Canada as a whole, or that span multiple provincial and territorial jurisdictions."
"california","475","Questions specific to the State of California."
"international","465","For questions about the interaction of two or more sovereign states, including agreements and laws between them, and disputes of jurisdiction for civil or criminal matters. "
"european-union","434","For questions related to legal systems of European countries and to legal harmonization in Europe, especially in the context of European Union law. "
"trademark","408","A trademark is a sign, logo or design of some kind that distinguishes a particular product or service (or its provider or source) from others. "
"business","397","For questions relating to commercial activity"
"constitutional-law","356","Constitutional law deals with the assignment or restriction of the powers and branches of a government. If you are asking whether something is constitutional, it's helpful if you provide reasons as to why you think it is or isn't constitutional.

Note: this tag is not country specific - please add a country tag to your question as well."
"liability","339","Use this for questions where the award of damages, or its possibility, is involved."
"rental-property","336","A property from which the owner receives payment from the occupant(s), known as tenants, in return for occupying or using the property."
"tax-law","336","Dealing with the constitutional, common-law, statutory, tax treaty, and regulatory rules that constitute the law applicable to taxation."
"civil-law","327","For questions relating to non-criminal legal branch of [common-law] legal systems. Not to be confused with [civil-legal-system], relating to civilian or Roman law."
"real-estate","275","For questions about property that involves lands or buildings."
"property","271","Use this for questions about belongings and possessions. See [real-estate] for questions about the possession of houses and buildings."
"police","270","Use this for questions about interaction with law enforcement, as well as their procedures and regulations."
"england-and-wales","268","Questions specific to England and Wales"
"us-constitution","262","The United States Constitution is the primary legal document for the United States of America."
"terms-of-service","251","A set of regulations which users must agree to follow in order to use a service."
"germany","239","Jurisdiction of Germany."
"fraud","229","Crimes or torts involving deception for financial or other gain. "
"traffic","229","Use this for questions involving vehicles and/or pedestrians on roadways.  Also consider whether any of the following tags are more appropriate: speeding, driving, transportation"
"corporate-law","228","The body of law about corporations, including mergers, acquisitions, corporate governance, corporate liability, finance, and bankruptcy. The fact that a question involves a corporation does not make it a corporate law question."
"landlord","225","For questions about a landlord's duties and responsibilities, within the capacity of a tenant-landlord relationship."
"legal-terms","224","Use this when questioning the meaning of legal terms."
"consumer-protection","205","For questions related to the laws designed to protect consumers from fraudulent or unfair business practices."
"immigration","203","For questions about the legal process of becoming a resident or citizen of another country or about the laws governing entry of people into a country."
"patents","201","A patent is a right granted by a government entity for [intellectual-property] (IP), which excludes others from using that IP. Use this tag when asking specifically about patentability or patented matters."
"residential-lease","200","Leases for residential living purposes."
"open-source-software","200","For questions about open source software, which is licensed under an open source license. Generally, the source code is made available, and it provides a set of terms to allow others to use it. You may want to consider asking your question at Open Source Stack Exchange as well."
"fair-use","198","An exception to the limitations that can be imposed by a copyright owner.  A similar concept in the U.K. is called ""fair dealing."""
"texas","192","Questions specific to the State and laws of Texas."
"new-york","187","The U.S. state. For questions pertaining only to the city use the new-york-city tag."
"tenant","177","Use this for general questions about tenants. Consider using a more specific tag such as [residential-tenant], [commercial-tenant], [leasehold] or [boarder] if they are more appropriate."
