tagName,Count,Excerpt
"meaning","513","For questions regarding the meaning of certain terms of phrases used in a work of literature. If your question concerns the symbolic significance of something whose surface meaning is clear, use the [symbolism] tag instead."
"story-identification","390","Use this tag on questions asking for identification of a published story, based on the details you provide within the question. Please be THOROUGH and provide ALL of the details that you can remember when using this tag. "
"poetry","350","This tag should be used on questions about poetry in general or about any specific poem. Please use this tag with the appropriate author tag, and, if applicable, the language tag (such as [french-literature]."
"short-stories","296","For questions about stories with a fully developed plot, themes, and characters, but significantly shorter and less detailed than a novel.
"
"character-analysis","163","For questions about how characters act or are constructed by authors."
"william-shakespeare","149","Questions about William Shakespeare (1564 –  1616), the legendary playwright and poet known as ""The Bard"" or any of his works."
"symbolism","146","For questions concerning symbolic features in a work of literature. Both symbols and the things they represent can be either tangible or intangible. Not to be confused with the [motif] tag or [meaning] tag. This tag is not to be used for questions about Symbolism as a movement in (mainly French) literature, unless such questions are about the use of symbols. See the tag wiki for more information."
"history-of-literature","117","Use this tag for questions about historical development within literature: for example, the history of a particular literary theme or idea, or of literature in a particular country or context. For questions about real-world history as it relates to literature, use the [historical-context] tag instead."
"french-literature","106","For questions about French literature: works of literature which were originally written in the French language, whether from the country France or elsewhere."
"russian-literature","99","For questions about works of literature which were originally written in the Russian language."
"quote-identification","91","For questions looking to identify the source of a quote."
"song-lyrics","89","For questions about the literary meaning or significance of the lyrics of a song."
"inspiration","84","For questions about the inspiration behind an object or concept in a work of literature: what it was based on or where the idea came from."
"historical-context","75","For questions regarding the influence of historical events or notions on a literary work, and about the extent to which works of literature accurately depict historical events, figures, customs, ideas, etcetera. "
"terminology","74","For questions pertaining to terms used in the study of literature, including the names of the genres, tropes, terms used for analysis, and so forth."
"ayn-rand","72","For questions about the Russian-American philosopher and novelist Ayn Rand or any of her literary works. If this question is about one of her books, the book in question should also be tagged."
"comics","68","Use this when asking about a work that was published as a comic (or a graphic novel), or about the medium as a whole. For questions about Japanese, Korean, or Chinese comics, use the [manga], [manhwa], and [manhua] tags, as appropriate."
"translation","68","For questions about translations of works, including how meanings and word choice differ in different languages, and the impact and reasoning of different translations."
"george-orwell","60","For questions about the English author George Orwell or about any of his literary works, which include the satirical novels 1984 and Animal Farm."
"atlas-shrugged","56","A novel by Ayn Rand. Use with tag [ayn-rand]."
"j-r-r-tolkien","54","For questions about the English author J.R.R. (John Ronald Reuel) Tolkien or about any of his literary works, most famously The Lord of the Rings, The Hobbit, The Silmarillion, and the other works making up the Middle-Earth legendarium."
"german-literature","52","For questions about German literature: works of literature which were originally written in the German language."
"name-significance","50","For questions related to the literary significance or meaning of names that appear in literature."
"c-s-lewis","49","Questions about the British author C.S. Lewis (1898 – 1963), or any of his works, most famously his fantasy series 'The Chronicles of Narnia'."
"greek-literature","44","For questions about Greek literature: works of literature which were originally written in the Greek language."
"neil-gaiman","44","For question about Neil Gaiman, an English writer and journalist, and his works. These include the book American Gods, and the Sandman comics."
"spanish-literature","42","For questions about Spanish literature: works of literature which were originally written in the Spanish language, whether from Spain, Latin America, or elsewhere."
"nineteen-eighty-four","41","For questions about George Orwell's dystopia, alternate-future novel, 1984. Use this tag with the [george-orwell] tag. "
"the-lord-of-the-rings","40","For questions about The Lord of the Rings series by J.R.R. Tolkien. Use this tag with the [j-r-r-tolkien] tag. "
"wording-choice","39","For questions about a writer's precise selection of words as determined by a number of factors, including denotative and connotative meaning, specificity, level of diction, tone, and audience"
"theory","38","Questions related to literary theory, i.e. the body of frameworks, ideas and methods about how to interpret literature. This tag can be used for questions about literary terms and theories of literature, including the history of such concepts. For questions about existing interpretations and evaluations, use the [literary-criticism] tag."
"lord-byron","36","For questions about the poet George Gordon Byron, better known as Lord Byron, or his literary works and influences."
"arthur-conan-doyle","35","For questions about the author Arthur Conan Doyle or any of his literary works."
"the-chronicles-of-narnia","34","For questions about The Chronicles of Narnia, the 7-book series by C. S. Lewis. Use this with the [c-s-lewis] tag."
"g-k-chesterton","33","Questions related to the English writer, poet, philosopher and dramatist Gilbert Keith Chesterton (1874 – 1936) and his work. His works include The Napoleon of Notting Hill (1904), The Man Who Was Thursday (1908) and the Father Brown stories (1910–1935)."
"setting","32","For questions regarding the physical location and time period in which a work of literature takes place."
"style","31","Questions related to the style of a literary work or a specific author, i.e. the way in which word choice, sentence structure, imagery, figurative devices, repetition and other aspect of language are used to achieve certain effects. "
"j-k-rowling","30","For questions regarding the British author J.K. Rowling and her works, most famously the immensely popular Harry Potter series."
"sherlock-holmes","29","For questions regarding the Sherlock Holmes series of novels and short stories by Arthur Conan Doyle or any other literary work featuring this character. For questions about the original Doyle stories, use the [arthur-conan-doyle] tag as well."
"reading-order","29","For questions regarding the order in which a sequence of related works should be read. In particular, where the chronological order of release may not match the order of events within the related works."
"harry-potter","29","For questions regarding the 7-book young-adult series by J. K. Rowling. Use this tag with the [j-k-rowling] tag."
"thomas-hardy","29","Thomas Hardy (1840–1928), English novelist and poet. His novels include ""Far From the Madding Crowd"" (1874), ""The Mayor of Casterbridge"" (1886) and ""Tess of the d'Urbervilles"" (1891)."
"meter","29","For questions about determining and representing the meter of a poem, a practice called scansion."
"don-juan","28","Don Juan is a long poem by Lord Byron, in seventeen cantos with the last one unfinished. Use this tag with the [lord-byron] tag."
"interpretation","28","Questions asking for general, open-ended, interpretation of a text. Use this tag if you want answers that address all and any aspects of the text: its meaning, atmosphere, style, images, structure, references, context, and so on. Best used on short texts only."
"japanese-literature","27","For questions about Japanese literature: works of literature which were originally written in the Japanese language. "
"f-scott-fitzgerald","27","For questions about the American novelist and short story writer F. Scott Fitzgerald (1896-1940) or about any of his literary works."
"title","26","For questions about the literary meaning or purpose behind the title of a book."
"edgar-allan-poe","26","For questions about the 19th-century author Edgar Allan Poe and his writings, which include both poetry and short stories, some of which have had widespread influence in their genres. Questions about his poems and short stories should be tagged [poetry] and [short-stories] respectively."
"literary-device","26","For questions regarding an author's use of various literary techniques and other stylistic elements to allow the reader to better interpret and appreciate the work of literature."
"editions","26","For questions about particular editions of literary works, or about the differences between editions."
"the-great-gatsby","25","Questions related to F. Scott Fitzgerald's novel The Great Gatsby (1925). Use this tag with the [f-scott-fitzgerald] tag."
"religion","25","For questions about the literary significance of religious works or the effects of religion on literature."
"the-sandman","25","To be used for about the graphic novel, or its relation to other works, along with the [neil-gaiman] and [comics] tags."
"strugatsky-brothers","24","For questions about the works of the Soviet writers Arkady and Boris Strugatsky or their lives as writers. Their most famous works include ""Hard to Be a God"", ""Roadside Picnic"", ""Monday Begins on Saturday"", and the Noon Universe cycle. Questions about their works should also be tagged with [russian-literature] along with the work in question."
"fyodor-dostoyevsky","24","For questions regarding the works of Fyodor Dostoyevsky (1821 – 1881), the Russian journalist and author of such works as 'Crime and Punishment' (1866), 'The Idiot' (1868–1869) and 'The Brothers Karamazov' (1879–1880). Use this tag with the tag [russian-literature]."
"hamlet","24","For questions about the play ""Hamlet"" by William Shakespeare, and related materials. Use this tag with the [william-shakespeare] tag."
"jane-austen","23","Questions about the works of the English novelist Jane Austen (1775 – 1817) and her life as a writer. "
"agatha-christie","23","For questions about the renowned crime writer Agatha Christie or about any of her literary works, which include And Then There Were None, Murder on the Orient Express, and many stories about the detectives Hercule Poirot and Miss Marple."
"guy-de-maupassant","22","For questions about the works of Guy de Maupassant and his life as a writer. Use this tag with the tag [french-literature]. Use this tag with the [french-literature] tag."
"homer","22","For questions about the ancient Greek writer known as Homer or about any of his literary works, most famously the Iliad and the Odyssey (which also have their own tags on this site)."
"publication","22","Questions about the publication of a work, not the text of the work itself. This type of questions asks about how a specific text came into existence as a publication (which involves a publisher), not as a text (which usually does not involve a publisher. Valid examples are when or in what form a specific work was published and by whom. For publishing practices of a specific country or time period, use the [publishing] tag."
"james-joyce","22","Questions regarding the Irish author James Joyce (1882-1941) or his works."
"william-blake","21","Questions about the pre-Romantic English poet, painter and printmaker William Blake (1757 – 1827) and his works. Blake is known for combining poems with illustrations. His works include 'Songs of Innocence', 'Songs of Experience', 'The Marriage of Heaven and Hell' and 'Milton'. In addition to his own works, he also illustrated other books, such as Dante's 'Divine Comedy' and the Bible."
"genre","21","For questions about genres as they relate to literature.  Note that questions asking for the genre of a work are off-topic."
"macbeth","20","For questions about Macbeth, a play by William Shakespeare. Note that this is a work tag and not a character tag for the man Macbeth. Use in conjunction with [william-shakespeare]."
"t-s-eliot","20","Questions about the U.S.-born British poet, literary critic, dramatist and publisher T. S. Eliot (1888 –  1965) and his works. As a poet, Eliot is best known for poems such as ""The Love Song of J. Alfred Prufrock"" (1915), ""The Wasteland"" (1922) and the ""Four Quartets"" (1943). His plays include ""Murder in the Cathedral"" (1935) and ""The Cocktail Party"" (1949). As a critic, he is said to have influenced by New Criticism."
"mark-twain","20","For questions about the US author Mark Twain (real name Samuel Langhorne Clemens; 1835 – 1910) or about any of his works, which include The Adventures of Huckleberry Finn and The Adventures of Tom Sawyer."
"scandinavian-literature","20","For questions about Scandinavian literature: works of literature which were originally written in any of the North Germanic (or ""Scandinavian"") languages - Norwegian, Swedish, Danish, Icelandic, or Old Norse. Note that this is a language tag and not a country tag: the place of publication is irrelevant."
"charles-dickens","19","Questions about Charles Dickens (1812 – 1870), an English writer from the Victorian era, and his works."
"albert-camus","19","Questions about the works of the Algerian-born French philosopher and author Albert Camus (1913 – 1960) or his life as a writer. He is best known for his works 'The Stranger', 'The Plague' and others. Use this tag with the tag [french-literature]."
"harper-lee","19","For questions about the author Nelle Harper Lee (1926-2016) or about any of her works, such as To Kill a Mockingbird and Go Set a Watchman."
"father-brown","19","Father Brown is an English Catholic priest and detective in a series of stories by G. K. Chesterton, collected in ""The Innocence of Father Brown"" (1911), ""The Wisdom of Father Brown"" (1914), ""The Incredulity of Father Brown"" (1926), ""The Secret of Father Brown"" (1927), and ""The Scandal of Father Brown"" (1935).
"
"robert-frost","18","For questions about the poet Robert Frost or his works. Questions about his short poems should be tagged with the [poetry] tag as well."
"leo-tolstoy","18","For questions about the works of Leo Tolstoy and his life as a writer. Use this tag with the tag [russian-literature]. "
"intertextuality","18","For questions about the relationship between texts or sets of texts."
"william-golding","18","For questions about the British novelist William Golding (1911-1993) or about any of his literary works, most famously the book The Lord of the Flies about a group of boys who are marooned on an island."
"to-kill-a-mockingbird","18","For questions about To Kill A Mockingbird, the book by Harper Lee. Use this tag with the [harper-lee] tag."
"lord-of-the-flies","18","For questions about William Golding's 1954 novel Lord of the Flies. Use this tag with the [william-golding] tag. "
"italian-literature","18","For questions regarding literature originally written in Italian."
"cultural-context","18","Questions about the relation between works of literature and a specific cultural context. Cultural context does not necessarily refer to the context in which the work originated; it can also refer to the reception in a different cultural context."
"nalo-hopkinson","18","Questions about the Jamaican-born Canadian writer Nalo Hopkinson (born 1960) and her work. She has published novels such as 'Brown Girl in the Ring' (1998), 'Midnight Robber' (2002) and 'The Salt Roads' (2003), and collections of short stories such as 'Skin Folk' (2001)."
"publishing","17","Questions about current or historical practices in publishing that affected or would affect many or most publications in a specific period and/or place (country, city, ...). In this type of questions, specific works may be cited as examples. However, for questions concerning the publication of specific works, use the [publication] tag."
"the-fountainhead","17","For questions related to ""The Fountainhead"", a novel by Ayn Rand. Use together with the [ayn-rand] tag."
"persian-literature","17","Use this tag for questions about any works of literature that were originally created in the Persian language. Please use with the appropriate author and work tags as well."
"myths","17","For questions about the literary aspects of myths and legends."
"jorge-luis-borges","17","For questions about the Argentinian author Jorge Luis Borges or about any of his literary works, most famously his short story collections Ficciones (1944) and The Aleph (1949)."
"allusions","16","For questions about references to other works, external incidents, etc. in literature. Use this tag with the relevant author and work tags if applicable."
"chinese-literature","16","For questions regarding literature that was originally written in the Chinese language. Please also make sure to use the applicable work and author tag."
"latin-literature","16","Use this tag for questions about works of literature originally created in the Latin language, along with the applicable author and work tags."
"literary-criticism","16","Questions related to literary criticism, the branch of the humanities that studies and interprets literature. For literary theory, use the [theory] tag."
"mary-shelley","16","Questions related to the English author Mary Wollstonecraft Shelley (1797 – 1851) and her work. She is best known for her Gothic novel Frankenstein (1818) but also wrote short stories, biographies and travelogues. She was married to Percy Bysshe Shelley in the years 1816 – 1822."
"frankenstein","16","Questions related to the novel Frankenstein; or, The Modern Prometheus by Mary Wollstonecraft Shelley. Use this tag with the [mary-shelley] tag."
"michael-ende","16","Questions about the German writer of fantasy and children's fiction Michael Ende (1929 – 1995) and his works. Ende is best known for 'Die unendliche Geschichte' (1979, ""The Neverending Story""), 'Momo' (1973) and 'Jim Knopf und Lukas der Lokomotivführer' (1960, ""Jim Button and Luke the Engine Driver"")."
"r-k-narayan","16","Questions about the works of the Indian novelist and short story author R. K. Narayan (Rasipuram Krishnaswami Iyer Narayanaswami, 1906 – 2001) and his life as a writer. Narayan wrote many novels and stories situated in or around the fictional town of Malgudi, starting with hist first novel 'Swami and Friends' (1935)."
"ursula-le-guin","15","Questions related to the American author Ursula K. Le Guin (1929 – 2018) and her work. Her work includes the science fiction novels 'The Left Hand of Darkness' (1969) and 'The Dispossessed' (1974), and the Earthsea series of fantasy novels and stories."
"elizabeth-barrett-browning","15","For questions about the life and works of the Victorian-era English poetess Elizabeth Barrett Browning (1806 – 1861)."
"catch-22","15","For questions about Catch 22, the novel by Joseph Heller. Use in conjunction with [joseph-heller]."
"stephen-king","15","For questions about the works of Stephen King and his life as a writer."
"hard-to-be-a-god","15","For questions about the 1964 Soviet science fiction novel, set in the Noon universe, as well as its adaptations. Use with the [strugatsky-brothers] tag and the [russian-literature] tag."
"joseph-heller","15","For questions about the works of Joseph Heller and his life as a writer."
"suzanne-collins","15","For questions about either the author Suzanne Collins or any of her literary works (most famously the Hunger Games book series). Note that questions about the films adapted from her works are off-topic for Literature."
"john-keats","15","Questions about the works of the English Romantic poet John Keats (1795 – 1821) and his life as a writer."
"h-p-lovecraft","14","Howard Phillips Lovecraft was an American author of horror, fantasy and science fiction, especially the subgenre known as weird fiction."
"politics","14","For questions regarding politics in literature. Please note that general questions about politics that aren't directly tied to literature are off-topic and shold be asked on the Politics Stack Exchange site instead."
"the-odyssey","14","For questions about The Odyssey, the epic poem by Homer. Use in conjunction with [homer]."
"sexuality","14","Questions related to sexuality, including LGBT themes (lesbian, gay, bisexual and transgender), in works of literature or literary theory."
"polish-literature","14","For questions about Polish literature: works of literature which were originally written in the Polish language. "
"terry-pratchett","14","How questions about Sir Terry Pratchett, the English author, and his works. His most famous work ıs the Discworld cycle, and some other works include ""Strata"", ""Nation"", the Johnny Maxwell trilogy, and ""Good Omens"", in collaboration with Neil Gaiman."
"aurora-leigh","14","Questions about Aurora Leigh (1856), an epic novel in blank verse by Elizabeth Barrett Browning. Use this tag with the [elizabeth-barrett-browning] tag."
"physical-books","14","Questions related to books as physical objects, e.g. their size, colors, etc."
"songs-of-experience","14","Questions about the collection of poems entitled 'Songs of Experience' by William Blake, published in 1794. These poems are usually published together with the earlier 'Songs of Innocence' from 1789 and then given the title 'Songs of Innocence and of Experience'. Use this tag with the [william-blake] tag."
"the-neverending-story","13","For questions about The Neverending Story (Die unendliche Geschichte), a 1979 fantasy novel by Michael Ende originally written in German. Use with the [michael-ende] and [german-literature] tags."
"theme","13","Questions about themes of one or more works of literature, i.e. central ideas that unify a literary work."
"ernest-hemingway","13","For questions about the author Ernest Hemingway or about any of his literary works."
"george-r-r-martin","13","Questions about the author George R. R. Martin and his works, the most famous of which are the novels in the fantasy series 'A Song of Ice and Fire'."
"ray-bradbury","12","For questions regarding the works of Ray Bradbury, the American science-fiction author of Fahrenheit 451, Dandelion Wine, The Martian Chronicles, and Something Wicked This Way Comes."
"censorship","12","For questions asking why a book was (not) censored or what was it (not) censored for."
"the-bible","12","The Bible, a collection of sacred texts. Questions should deal with the literary aspects of the text as defined by the Help Center. Otherwise, questions should refer either to Christianity Stack Exchange (for general questions related to Christianity) or Biblical Hermeneutics (questions about Biblical text using techniques or rules of interpretation)."
"crime-and-punishment","12","For questions about the novel ""Crime and Punishment"" by Fyodor Dostoevsky. Not to be used for questions about any non-literary (e.g. screen) adaptations except as they relate to literature. Use in conjunction with [fyodor-dostoevsky] and [russian-literature]."
"samuel-taylor-coleridge","12","Questions about the works of the English romantic poet and literary critic Samuel Taylor Coleridge (1772 – 1834) and his life as a writer. He is best known for the poems 'The Rime of the Ancient Mariner' and 'Kubla Khan', and the poetry collection 'Lyrical Ballads', which he co-authored with William Wordsworth."
"dutch-literature","12","For questions on literature originally written in the Dutch language. Please also make sure to use the applicable work and author tag."
"arabic-literature","12","Questions about works of literature written in any of the Arabic languages, including Classical Arabic and Modern Standard Arabic."
"geoffrey-chaucer","12","Questions related to the English poet Geoffrey Chaucer (c. 1343 – 1400), author of The Canterbury Tales, Troilus and Criseyde, The Legend of Good Women and other works."
"the-canterbury-tales","12","For questions regarding The Canterbury Tales, a collection of 24 stories written in Middle English by Geoffrey Chaucer. Use with the [geoffrey-chaucer] tag."
"h-g-wells","12","For questions about the English author H. G. Wells (1866 – 1946) or about any of his literary works."
"author-identification","12","Requests to find the name of an author, based on biographical and/or literary data."
"oscar-wilde","12","Questions related to the Irish poet and playwright Oscar Wilde (1854 – 1900) and his work."
"oral-tradition","11","Questions related to works of literature which are transmitted through speech or song."
"pride-and-prejudice","11","Questions related to Jane Austen's 1813 novel Pride and Prejudice, published anonymously as ""By the Author of Sense and Sensibility"". Use this tag with the [jane-austen] tag."
"allegory","11","Questions related to allegories, i.e. a type of text in which a metaphor is extended throughout the entire narrative. Examples include the cave allegory in Book VII of Plato's Republic, and Edmund Spenser's epic poem The Faerie Queene, in which the several knights stand for different virtues."
"rumi","11","For questions about the life and works of Rumi, the 13th-century Persian Muslim poet. Questions about his short poems should be tagged with [poetry]. Questions about his works should be also tagged with [persian-literature], or other language tags if applicable."
"theater","11","For general questions about plays and theatrical performances as works of literature. If your question is about a specific play, use the title and author tags instead."
"moby-dick","11","For questions about the novel Moby Dick, by Herman Melville. Use this tag with the [herman-melville] tag."
"herman-melville","11","For questions about Herman Melville and his works, most notably Moby Dick."
"pseudonym","11","For questions about the use of pseudonyms by authors. Use this tag with the tag for the author in question."
"walt-whitman","11","Questions about the works of the American poet, essayist and journalist Walt Whitman (1819 –  1892) and his life as a writer. He is best known for this poetry collection 'Leaves of Grass'."
"the-hunger-games","11","For questions about the series known as The Hunger Games by Suzanne Collins. Use in conjunction with [suzanne-collins]."
"animal-farm","11","For questions about Animal Farm, a satirical novel by George Orwell. This tag should be used in conjunction with [george-orwell]."
"joseph-conrad","11","For questions about the works of Joseph Conrad and his life as a writer."
"a-song-of-ice-and-fire","11","For questions about A Song of Ice and Fire, the series by George R. R. Martin. Use in conjunction with [george-r-r-martin]."
"vladimir-nabokov","11","For questions about the works of Vladimir Nabokov and his life as a writer. For his works that were originally in Russian, use the [russian-literature] tag along with that work. If not, just tag that work with this author."
"rudyard-kipling","11","For questions about the works of Rudyard Kipling (1865 – 1936) and his life as a writer. His works include 'The Jungle Book' (1894), 'Kim' (1901), short stories such as 'The Man Who Would Be King' (1888), and poems such as 'The White Man's Burden' (1899), and 'If—' (1910)."
"akkadian-literature","11","Questions about works of literature originally written in Akkadian, an extinct Semitic language from ancient Mesopotamia."
"thomas-deloney","11","Questions related to the works of Thomas Deloney (c. 1543 – April 1600)  and his life as a writer. Deloney published ballads and ""novels"". He is best known for ""Jack of Newbury ""."
"jonathan-swift","10","Questions about the Anglo-Irish author Jonathan Swift (1667 – 1745) and his literary works."
"alfred-tennyson","10","For questions about Alfred Tennyson's work or his life as a writer and poet. Questions about his poems should be tagged with [poetry] tag."
"the-waste-land","10","For questions about 'The Waste Land' (1922), the poem by T.S. Eliot. Use this tag with the [t-s-eliot] tag."
"william-faulkner","10","For questions either about the author William Faulkner or about any of his literary works."
"definition-of-literature","10","For questions pertaining to the various definitions of literature."
"robert-louis-stevenson","10","For questions about the life and works of the Scottish novelist and poet Robert Louis Stevenson, most famous for his 1882 work ""Treasure Island""."
"romeo-and-juliet","10","For questions regarding Romeo and Juliet, a play written by William Shakespeare. Use together with the [william-shakespeare] tag."
"ulysses","10","For questions about James Joyce's 1922 modernist novel ""Ulysses"". Use this with the [james-joyce] tag."
"word-coinage","10","For questions regarding authors' creation of new words (e.g. ""tintinnabulation"" by Edgar Allan Poe)."
"william-wordsworth","10","Questions about the English Romantic poet William Wordsworth (1770 – 1850) and his works. In addition to his own work, e.g. Poems, in Two Volumes (1807) and The Prelude (1850), he wrote the influential Lyrical Ballads (1798) in co-operation with Samuel Taylor Coleridge."
"jude-the-obscure","10","For questions about the novel Jude The Obscure (1895) by Thomas Hardy. Use together with the [thomas-hardy] tag."
"the-space-trilogy","10","For questions about the Space Trilogy by C.S. Lewis, or about any of its constituent novels: Out of the Silent Planet, Perelandra, and That Hideous Strength. Use with the [c-s-lewis] tag."
"ted-hughes","10","Questions related to the English poet Ted Hughes (Edward James Hughes, 1930 – 1998) and his work. Hughes also published several translations of literary works. When asking about a poem, please use the [poetry] tag."
"finnegans-wake","9","Questions about James Joyce's final novel Finnegans Wake (1939). Use with the [james-joyce] tag."
"the-tempest","9","Questions about Shakespeare's play 'The Tempest', probably written in 1610–1611. In addition to being the last play that Shakespeare wrote alone, the play is also notable for being the only Shakespeare play that respects the three unities (unity of action, unity of time and unity of place)."
"alexandre-dumas-pere","9","Questions about the works of the French author Alexandre Dumas (1802 – 1870) and his life as a writer. The author is often referred to as ""Alexandre Dumas père"" (""père"" meaning ""father"") in order to distinguish him from his son, who is then referred to as ""Alexandre Dumas fils"" (""fils"" meaning ""son"").  Use this tag with the tag [french-literature]."
"o-henry","9","For questions regarding the life and works of O. Henry, the American author, best known for his short stories. Questions regarding his short stories should be tagged with [short-stories]."
"music","9","For questions about the non-lyrical parts of music (e.g. instrumentals) and how they relate to the literary aspects of music."
"epic-of-gilgamesh","9","For questions about the Epic of Gilgamesh, an epic poem from ancient Mesopotamia (c. 2100 BC) which is one of the oldest surviving works of literature in the world. Use this tag with the tag [sumerian-literature] for Gilgamesh texts in Sumerian, with the tag [akkadian-literature] for Gilgamesh texts in Akkadian, or with both, for questions that are relevant to texts in either language."
"tropes","9","For trope in the movie sense and their origins: universally defined images with deeper implications than their linguistic meanings. Not for the rhetoric figure."
"robert-jordan","9","For questions about the works of Robert Jordan and his life as a writer."
