tagName,Count,Excerpt
"ag.algebraic-geometry","16683","for questions on algebraic geometry, including algebraic varieties, stacks, sheaves, schemes, moduli spaces, complex geometry, quantum cohomology.
"
"nt.number-theory","11972","Prime numbers, diophantine equations, diophantine approximations, analytic or algebraic number theory, arithmetic geometry, Galois theory, transcendental number theory, continued fractions
"
"reference-request","10831","This tag is used if a reference is needed in a paper or textbook on a specific result."
"co.combinatorics","7542","Enumerative combinatorics, graph theory, order theory, posets, matroids, designs and other discrete structures. It also includes algebraic, analytic and probabilistic combinatorics.
"
"dg.differential-geometry","6617","Complex, contact, Riemannian, pseudo-Riemannian and Finsler geometry, relativity, gauge theory, global analysis.
"
"fa.functional-analysis","6518","Banach spaces, function spaces, real functions, integral transforms, theory of distributions, measure theory.
"
"at.algebraic-topology","6384","Homotopy, stable homotopy, homology and cohomology, homotopical algebra.
"
"pr.probability","6210","Theory and applications of probability and stochastic processes: e.g. central limit theorems, large deviations, stochastic differential equations, models from statistical mechanics, queuing theory.
"
"gr.group-theory","6199","Questions about the branch of algebra that deals with groups.
"
"rt.representation-theory","5209","Linear representations of algebras and groups, Lie theory, associative algebras, multilinear algebra.
"
"ct.category-theory","4699","Categories and functors, universal properties, algebras and algebraic theories, topoi, enriched and internal categories, structured categories (abelian, monoidal, etc), higher categories.
"
"linear-algebra","4274","Questions about the properties of vector spaces and linear transformations, including linear systems in general.
"
"ac.commutative-algebra","4153","Commutative rings, modules, ideals, homological algebra, computational aspects, invariant theory, connections to algebraic geometry and combinatorics.
"
"graph-theory","3996","Questions about the branch of combinatorics called graph theory (not to be used for questions concerning the graph of a function). This tag can be further specialized via using it in combination with more specialized tags such as extremal-graph-theory, spectral-graph-theory, algebraic-graph-theory, topological-graph-theory, random-graphs, graph-colorings and several others.  "
"set-theory","3884","forcing, large cardinals, descriptive set theory, infinite combinatorics, cardinal characteristics, forcing axioms, ultrapowers, measures, reflection, pcf theory, models of set theory, axioms of set theory, independence, axiom of choice, continuum hypothesis, determinacy, Borel equivalence relations, Boolean-valued models, embeddings, orders, relations, transfinite recursion, set theory as a foundation of mathematics, the philosophy of set theory.
"
"lo.logic","3643","first-order and higher-order logic, model theory, set theory, proof theory, computability theory, formal languages, definability, interplay of syntax and semantics, constructive logic, intuitionism, philosophical logic, modal logic, completeness, Gödel incompleteness, decidability, undecidability, theories of truth, truth revision, consistency.
"
"gn.general-topology","3339","Continuum theory, point-set topology, spaces with algebraic structure, foundations, dimension theory, local and global properties.
"
"real-analysis","3225","Real-valued functions of real variable, analytic properties of functions and sequences, limits, continuity, smoothness of these."
"gt.geometric-topology","3034","Topology of cell complexes and manifolds, classification of manifolds (e.g. smoothing, surgery), low dimensional topology (e.g. knot theory, invariants of 4-manifolds), embedding theory, combinatorial and PL topology, geometric group theory, infinite dimensional topology (e.g. Hilbert cube manifolds, theory of retracts).
"
"ap.analysis-of-pdes","2862","Partial differential equations (PDEs): Existence and uniqueness, regularity, boundary conditions, linear and non-linear operators, stability, soliton theory, integrable PDEs, conservation laws, qualitative dynamics.
"
"mg.metric-geometry","2746","Euclidean, hyperbolic, discrete, convex, coarse geometry, comparisons in Riemannian geometry, symmetric spaces.
"
"ca.classical-analysis-and-odes","2460","Special functions, orthogonal polynomials, harmonic analysis, ordinary differential equations (ODE's), differential relations, calculus of variations, approximations, expansions, asymptotics.
"
"matrices","2363","Questions where the notion matrix has an important or crucial role (for the latter, note the tag matrix-theory for potential use). Matrices appear in various parts of mathematics, and this tag is typically combined with other tags to make the general subject clear, such as an appropriate top-level tag ra.rings-and-algebras, co.combinatorics, etc. and other tags that might be applicable. There are also several more specialized tags concerning matrices."
"ra.rings-and-algebras","2303","Non-commutative rings and algebras, non-associative algebras, universal algebra and lattice theory, linear algebra, semigroups. For questions specific to commutative algebra (that is, rings that are assumed both associative and commutative), rather use the tag ac.commutative-algebra.
"
"cv.complex-variables","2300","Complex analysis, holomorphic functions, automorphic group actions and forms, pseudoconvexity, complex geometry, analytic spaces, analytic sheaves.
"
"complex-geometry","2279","Complex geometry is the study of complex manifolds and complex algebraic varieties, and, by extension, of almost complex structures. It is a part of both differential geometry and algebraic geometry."
"lie-groups","2178","Lie Groups are Groups that are additionally smooth manifolds such that the multiplication and the inverse maps are smooth."
"homotopy-theory","2177","Homotopy theory is an important sub-field of algebraic topology. It is mainly concerned with the properties and structures of spaces which are invariant under homotopy. Chief among these are the homotopy groups of spaces, specifically those of spheres. Homotopy theory includes a broad set of ideas and techniques, such as cohomology theories, spectra and stable homotopy theory, model categories, spectral sequences, and classifying spaces."
"riemannian-geometry","2079","Riemannian Geometry is a subfield of Differential Geometry, which specifically studies ""Riemannian Manifolds"", manifolds with ""Riemannian Metrics"", which means that they are equipped with continuous inner products."
