tagName,Count,Excerpt
"real-analysis","110853","For questions about real analysis, a branch of mathematics dealing with limits, convergence of sequences, construction of the real numbers, the least upper bound property; and related analysis topics, such as continuity, differentiation, and integration through the Fundamental Theorem of Calculus."
"calculus","106075","For basic questions about limits, derivatives, integrals, and applications, mainly of one-variable functions."
"linear-algebra","98342","Linear algebra is concerned with vector spaces of all dimensions and linear transformations between them, including systems of linear equations, bases, dimensions, subspaces, matrices, determinants, traces, eigenvalues and eigenvectors, diagonalization, Jordan forms, etc. For questions specifically concerning matrices, use the (matrices) tag. For questions specifically concerning matrix equations, use the (matrix-equations) tag."
"probability","80259","For basic questions about probability and for questions about calculating a probability, expected value, variance, standard deviation, or similar quantity. For questions about the theoretical footing of probability (especially using [tag:measure theory]), ask under [tag:probability-theory] instead. For questions about specific probability distributions, use [tag:probability-distributions] instead."
"abstract-algebra","67405","For questions about groups, rings, fields, vector spaces, modules and other algebraic objects. Associate with related tags like [tag:group-theory], [tag:ring-theory], [tag:modules], etc. to clarify which topic of abstract algebra is most related to your question and help other users when searching."
"integration","56395","Concerns all aspects of integration, including the integral definition and computational methods. For questions solely about the properties of integrals, use in conjunction with (indefinite-integral), (definite-integral), (improper-integrals) or another tag(s) that typically describe(s) the types of the integrals being considered. This tag often goes along with the (calculus) tag. "
"sequences-and-series","51332","For questions concerning sequences and series. Typical  questions concern, but are not limited to: recurrence relations, convergence tests,  identifying sequences, identifying terms.  For questions on finite sums, use the (summation) tag instead. "
"combinatorics","44480","For questions about the study of finite or countable discrete structures, especially how to count or enumerate elements in a set (perhaps of all possibilities) or any subset. It includes questions on permutations, combinations, bijective proofs, and generating functions."
"general-topology","43688","Everything involving general topological spaces: generation and description of topologies; open and closed sets, neighborhoods; interior, closure; connectedness; compactness; separation axioms; bases; convergence: sequences, nets and filters; continuous functions; compactifications; function spaces; etc. Please use the more specific tags, (algebraic-topology), (differential-topology), (metric-spaces), (functional-analysis) whenever appropriate."
"matrices","43268","For any topic related to matrices. This includes: systems of linear equations, eigenvalues and eigenvectors (diagonalization, triangularization), determinant, trace, characteristic polynomial, adjugate and adjoint, transpose, Jordan normal form,  matrix algorithms (e.g. LU, Gauss elimination, SVD, QR), invariant factors, quadratic forms, etc. For questions specifically concerning matrix equations, use the (matrix-equations) tag."
"complex-analysis","40020","For questions mainly about theory of complex analytic/holomorphic functions of one complex variable. Use [tag:complex-numbers] instead for questions about complex numbers. Use [tag:several-complex-variables] instead for questions about  holomorphic functions of more than one complex variables."
"functional-analysis","38541","Functional analysis, the study of infinite-dimensional vector spaces, often with additional structures (inner product, norm, topology), with typical examples given by function spaces. The subject also includes the study of linear and non-linear operators on these spaces and other topics. For basic questions about functions use more suitable tags like (functions), (functional-equations) or (elementary-set-theory)."
"group-theory","38332","A group is an algebraic structure consisting of a set of elements together with an operation that satisfies four conditions: closure, associativity, identity and invertibility. Group theory is the study of groups.
"
"geometry","38089","For questions about geometric shapes, congruences, similarities, transformations, as well as the properties of classes of figures, points, lines, and angles."
"algebra-precalculus","37467","For questions about algebra and precalculus topics, which include linear, exponential, logarithmic, polynomial, rational, and trigonometric functions; conic sections, binomial, surds, graphs and transformations of graphs, solving equations and systems of equations; and other symbolic manipulation topics."
"ordinary-differential-equations","34732","For questions about ordinary differential equations, which are differential equations involving ordinary derivatives of one or more dependent variables with respect to a single independent variables. 

For questions specifically concerning partial differential equations, use the [tag:pde] instead. "
"number-theory","33933","Questions on advanced topics - beyond those in typical introductory courses: higher degree algebraic number and function fields, Diophantine equations, geometry of numbers / lattices, quadratic forms, discontinuous groups and  and automorphic forms, Diophantine approximation, transcendental numbers, elliptic curves and arithmetic algebra geometry,  exponential and character sums, Zeta and L-functions, multiplicative and additive number theory, etc."
"limits","33591","Questions on the evaluation and properties of limits in the sense of analysis and related fields.  For limits in the sense of category theory, use (limits-colimits) instead."
"analysis","32959","Mathematical analysis. Consider a more specific tag instead: (real-analysis), (complex-analysis), (functional-analysis), (fourier-analysis), (measure-theory), (calculus-of-variations), etc. For data analysis, use (data-analysis)."
"probability-theory","32087","Use this tag only if your question is about the modern theoretical footing for probability, for example probability spaces, random variables, law of large numbers, and central limit theorems.  Use [tag:probability] instead for specific problems and explicit computations. Use [tag:probability-distributions] for specific distribution functions, and consider [tag:stochastic-processes] when appropriate."
"elementary-number-theory","29967","Questions on divisibility, gcd and lcm, congruences, linear Diophantine equations, Fermat's and Wilson's theorems, the Chinese Remainder theorem, primitive roots, quadratic congruences, and other related topics in the early study of number theory. More advanced topics should receive the number-theory tag instead."
"measure-theory","28517","Questions related to measures, sigma-algebras, measure spaces, Lebesgue integration and the like."
"statistics","28489","Mathematical statistics is the study of statistics from a mathematical standpoint, using probability theory and other branches of mathematics such as linear algebra and analysis."
"multivariable-calculus","27053","Use this tag for questions about differential and integral calculus with more than one independent variable. Some related tags are (differential-geometry), (real-analysis), and (differential-equations). "
"functions","26214","For elementary questions about functions, notation, properties, and operations such as function composition. Consider also using the (graphing-functions) tag."
"discrete-mathematics","25915","The study of discrete mathematical structures. Consider using a more specific tag instead, such as: (combinatorics), (graph-theory), (computer-science), (probability), (elementary-set-theory), (induction), (recurrence-relations), etc. "
"derivatives","24799","Questions on the evaluation of derivatives or problems involving derivatives (for example, use of the mean value theorem)."
"trigonometry","23554","Trigonometric functions (both geometric and circular), relationships between lengths and angles in triangles and other topics relating to measuring triangles."
"differential-geometry","23521","Differential geometry is the application of differential calculus in the setting of smooth manifolds (curves, surfaces and higher dimensional examples). Modern differential geometry focuses on ""geometric structures"" on such manifolds, such as bundles and connections; for questions not concerning such structures, use (differential-topology) instead. Use (symplectic-geometry), (riemannian-geometry), (complex-geometry), or (lie-groups) when more appropriate. "
"proof-verification","23504","For questions concerning a specific proof or a specific solution, asking for verification, identifying errors, suggestions for improvement, etc. (You should not use this tag if the question does not contain a proposed proof/solution.)"
"elementary-set-theory","22640","This tag is for elementary questions on set theory, spanning topics usually found in introductory courses in set theory, in addition to review sections of graduate textbooks in the same field. Topics include intersections and unions, differences and complements, De Morgan's laws, Venn diagrams, relations and functions, countability and uncountability, etc. More advanced topics should use (set-theory) instead. "
"inequality","22575","Questions on proving, manipulating and applying inequalities. Do not use this tag just because an inequality appears somewhere in your question."
"algebraic-geometry","21413","The study of geometric objects defined by polynomial equations, as well as their generalizations: algebraic curves, such as elliptic curves, and more generally algebraic varieties, schemes, etc. Problems under this tag typically involve techniques of abstract algebra or complex-analytic methods. This tag should not be used for elementary problems which involve both algebra and geometry."
"probability-distributions","21049","Questions on using, finding, or otherwise relating to probability distributions, probability density functions (pdfs), cumulative distribution functions (cdfs), or other related functions."
"logic","20906","Questions about mathematical logic, including model theory, proof theory, computability theory (a.k.a. recursion theory), and non-standard logics. Questions which merely seek to apply logical or formal reasoning to other areas of mathematics should not use this tag. Consider using one of the following tags as well, if they fit the question: (model-theory), (set-theory), (computability), and (proof-theory). This tag is not for logical puzzles, use (puzzle)."
"polynomials","20625","This tag is used for both basic and advanced questions on polynomials in any number of variables, including, but not limited to solving for roots, factoring and checking for irreducibility."
"graph-theory","18565","Use this tag for questions in graph theory. Here a graph is a collection of vertices and connecting edges. Use (graphing-functions) instead if your question is about graphing or plotting functions. "
"convergence-divergence","17113","Convergence and divergence of sequences and series and different modes of convergence and divergence. Also for convergence of improper integrals."
"partial-differential-equations","16749","Questions on partial (as opposed to ordinary) differential equations - equations involving partial derivatives of one or more dependent variables with respect to more than one independent variables."
"ring-theory","16678","This tag is for questions about rings, which are a type of algebraic structure studied in abstract algebra and algebraic number theory. "
"optimization","16532","Optimization is the process of choosing the ""best"" value among possible values. They are often formulated as questions on the minimization/maximization of functions, with or without constraints."
"reference-request","16319","This tag is for questions seeking external references (books, articles, etc.) about a particular subject. Please do not use this as the only tag for a question."
"algebraic-topology","15784","Questions about algebraic methods and invariants to study and classify topological spaces: homotopy groups, (co)-homology groups, fundamental groups, covering spaces, and beyond."
"definite-integrals","15417","Questions about the evaluation of specific definite integrals."
"complex-numbers","14819","Questions involving complex numbers, that is numbers of the form $a+bi$ where $i^2=-1$ and $a,b\in\mathbb{R}$."
"vector-spaces","13981","For questions about vector spaces and their properties. More general questions about linear algebra belong under the [linear-algebra] tag. A vector space is a space which consists of elements called ""vectors"", which can be added and multiplied by scalars"
"summation","13398","Questions about evaluating summations, especially finite summations. For infinite series, please consider the (sequences-and-series) tag instead. "
"commutative-algebra","12580","Questions about commutative rings, their ideals, and their modules. "
"continuity","12379","Intuitively, a continuous function is one where small changes of input result in correspondingly small changes of output. Use this tag for questions involving this concept. As there are many mathematical formalizations of continuity, please also use an appropriate subject tag such as (real-analysis) or (general-topology)"
"proof-writing","12048","For questions about the formulation of a proof. This tag should not be the only tag for a question and should not be used to ask for a proof of a statement."
"metric-spaces","12029","Metric spaces are sets on which a metric is defined. A metric is a generalization of the concept of ""distance"" in the Euclidean sense. Metric spaces arise as a special case of the more general notion of a topological space."
"stochastic-processes","11748","A stochastic, or random, process describes the correlation or evolution of random events. It is used to model stock market fluctuations and electronic/audio-visual/biological signals. Among the most well-known stochastic processes are random walks and Brownian motion. "
"numerical-methods","11100","Questions on numerical methods; methods for approximately solving various problems that often do not admit exact solutions. Such problems can be in various fields. Numerical methods provide a way to solve problems quickly and easily compared to analytic solutions."
"eigenvalues-eigenvectors","10847","Eigenvalues are numbers associated to a linear operator from a vector space $V$ to itself: $\lambda$ is an eigenvalue of $T\colon V\to V$ if the map $x\mapsto \lambda x-Tx$ is not injective. An eigenvector corresponding to $\lambda$ is a non-trivial solution to $\lambda x - Tx = 0$.  "
"category-theory","10518","Categories are structures containing objects and arrows between them. Many mathematical structures can be viewed as objects of a category, with structure preserving morphisms as arrows. Reformulating properties of mathematical objects in the general language of category can help one see connections between seemingly different areas of mathematics. "
"field-theory","10218","Use this tag for questions about fields and field theory in abstract algebra. A field is, roughly speaking, an algebraic structure in which addition, subtraction, multiplication, and division of elements are well-defined. Please use (galois-theory) instead for questions specifically about that topic. Use (classical-mechanics), (electromagnetism), (general gravity) or (quantum-field-theory) for physical fields."
"prime-numbers","10127","Prime numbers are natural numbers greater than 1 not divisible by any smaller number other than 1. This tag is intended for questions about, related to, or involving prime numbers."
"soft-question","9973","For questions whose answers can't be objectively evaluated as correct or incorrect, but which are still relevant to this site. Please be specific about what you are after."
"permutations","9875","For questions related to permutations, which can be viewed as re-ordering a collection of objects."
"notation","9815","Question on the meaning, history, and usage of mathematical symbols and notation. Please remember to mention where (book, paper, webpage, etc.) you encountered any mathematical notation you are asking about."
"finite-groups","9485","Use with the (group-theory) tag. The tag ""finite-groups"" refers to questions asked in the field of Group Theory which, in particular, focus on the groups of finite order."
"algorithms","9297","Mathematical questions about Algorithms, including the analysis of algorithms, combinatorial algorithms, proofs of correctness, invariants, and semantic analyses.  See also (computational-mathematics) and (computational-complexity)."
"vectors","9241","Use this tag for questions and problems involving vectors, e.g.,  in an Euclidean plane or space.  More abstract questions, might better be tagged vector-spaces, linear-algebra, etc."
"modular-arithmetic","8838","Modular arithmetic (clock arithmetic) is a system of integer arithmetic based on the congruence relation $a \equiv b \pmod{n}$ which means that $n$ divides $a-b$."
"random-variables","8753","Questions about maps from a probability space to a measure space which are measurable. "
"fourier-analysis","8203","Fourier analysis, also known as spectral analysis, encompasses all sorts of Fourier expansions, including Fourier series, Fourier transform and the discrete Fourier transform (and relatives). The non-commutative analog is (representation-theory)."
"linear-transformations","8123","In mathematics, a linear map (also called a linear mapping, linear transformation or, in some contexts, linear function) is a mapping V → W between two modules (including vector spaces) that preserves (in the sense defined below) the operations of addition and scalar multiplication. 
(Def: http://en.m.wikipedia.org/wiki/Linear_map)"
"induction","8005","For questions about mathematical induction, a method of mathematical proof.  Mathematical induction generally proceeds by proving a statement for some integer, called the base case, and then proving that if it holds for one integer then it holds for the next integer.  This tag is primarily meant for questions about induction over natural numbers but is also appropriate for other kinds of induction such as transfinite, structural, double, backwards, etc."
"logarithms","7927","Questions related to real and complex logarithms."
"proof-explanation","7565","This tag is for readers who ask for explanation and clarification of some steps of a particular proof."
"operator-theory","7494","Operator theory is the branch of functional analysis that focuses on bounded linear operators, but it includes closed operators and nonlinear operators.
Operator theory is also concerned with the study of algebras of operators."
"modules","7325","For questions about modules over rings, concerning either their properties in general or regarding specific cases."
"set-theory","7241","This tag is for set theory topics typically studied at the advanced undergraduate or graduate level. These include cofinality, axioms of ZFC, axiom of choice, forcing, set-theoretic independence, large cardinals, models of set theory, ultrafilters, ultrapowers, constructible universe, inner model theory, definability, infinite combinatorics, transfinite hierarchies; etc. More elementary questions should use the ""elementary-set-theory"" tag instead. "
"asymptotics","7065","Questions involving asymptotic analysis, including growth of functions, Big-$O$ notation, Big-$\Omega$ and Big-$\Theta$ notations."
"recurrence-relations","7056","Questions regarding functions defined recursively, such as the Fibonacci sequence."
"convex-analysis","6991","Convex analysis is the study of properties of convex sets and convex functions.  For questions about optimization of convex functions over convex sets, please use the (convex-optimization) tag. "
"representation-theory","6865","Representation theory is a broad field that studies the symmetries of mathematical objects. A representation of an object is a way to ""linearize"" that object as a group of matrices. It's the non-commutative analog of classical Fourier transforms."
"power-series","6565","Questions about the properties of functions of the form $\sum_{n=0}^{\infty}a_n (x-c)^n$, where the $a_n$ are real or complex numbers, and $x$ is real or complex.
"
"terminology","6485","Questions on the usage and meaning of words in mathematics, the names for mathematical entities, and other such questions."
"manifolds","6461","For questions on manifolds of dimension $n$, a topological space that near each point resembles $n$-dimensional Euclidean space."
"taylor-expansion","6438","Questions regarding the Taylor series expansion of univariate and multivariate functions, including coefficients and bounds on remainders. A special case is also known as the Maclaurin series."
"contest-math","6266","For questions about mathematics competitions or the questions that typically appear in math competitions."
"euclidean-geometry","6195","Geometry assuming the parallel postulate: in a plane, given a line and a point not on that line, there is exactly one line parallel to the given line through the given point."
"exponential-function","6173","For question involving exponential functions and questions on exponential growth or decay."
"systems-of-equations","6168","This tag indicates that several equations (of some type) must all hold. Do not use alone! Use in conjunction with (linear-algebra), (polynomials), (pde), (differential-equations), (inequalities) or another tag that describes the nature of the equations being considered."
"galois-theory","6130","Galois theory allows one to reduce certain problems in field theory, especially those related to field extensions, to problems in group theory. For questions about field theory and not Galois theory, use the (field-theory) tag instead. For questions about abstractions of Galois theory, use (galois-connections)."
"hilbert-spaces","5940","For questions involving Hilbert spaces, that is, complete normed spaces whose norm comes from an inner product."
"combinations","5929","Combinations are subsets of a given size of a given finite set.
All questions for this tag have to directly involve combinations; if instead the question is about binomial coefficients, use that tag."
"improper-integrals","5893","Questions involving improper integrals, defined as the limit of a definite integral as an endpoint of the interval of integration approaches either a specified real number or $\infty$ or $-\infty$, or as both endpoints approach limits."
"definition","5812","For requesting, clarifying, and comparing definitions of mathematical terms."
"algebraic-number-theory","5782","Questions related to the algebraic structure of algebraic integers"
"binomial-coefficients","5751","Coefficients involved in the Binomial Theorem. $\binom{n}{k}$ counts the subsets of size $k$ of a set of size $n$."
"lebesgue-integral","5559","For questions about integration, where the theory is based on measures. It is almost always used together with the tag [measure-theory], and its aim is to specify questions about integrals, not only properties of the measure."
"normal-distribution","5509","This tag is for questions on the Gaussian, or normal probability distribution, which may include multi-dimensional normal distribution. The normal distribution is the most common type of distribution assumed in technical stock market analysis and in other types of statistical analyses."
"differential-topology","5460","Differential topology is the field dealing with differentiable functions on differentiable manifolds. It is closely related to differential geometry and together they make up the geometric theory of differentiable manifolds."
"solution-verification","5422","For posts looking for feedback or verification of a proposed solution."
"lebesgue-measure","5412","For questions about the Lebesgue measure, a measure defined on the Borel or Lebesgue subsets of the real line or $\mathbb R^d$ for some integer $d$. Use it with (tag: measure-theory) tag and (if necessary) with (tag:lebesgue-integral)."
"convex-optimization","5404","A convex optimization problem consists of either minimizing a convex objective or maximizing a concave objective over a convex feasible region."
"lie-groups","5387","A Lie group is a group (in the sense of abstract algebra) that is also a differentiable manifold, such that the group operations (addition and inversion) are smooth, and so we can study them with differential calculus. They are a special type of topological group.

Consider using with the (group-theory) tag."
