tagName,Count,Excerpt
"logic","2795","For questions about logic, whether it concerns syllogistic logic, mathematical logic or the nature of logic itself."
"ethics","1567","For questions about ethics, a branch of philosophy dealing with morality, justice, virtue, vice, good and evil."
"epistemology","1270","Epistemology is the study of knowledge, acquisition thereof, and the justification of belief in a given claim."
"philosophy-of-science","1252","for applied philosophical questions about the study of science, the pursuit of scientific knowledge, and the scientific method"
"metaphysics","1143","Metaphysics is a branch of philosophy concerned with explaining the essence of things, of the fundamental nature of being and the world and the principles that organize the universe. Metaphysics is supposed to answer the question ""What is the nature of reality?"""
"philosophy-of-mathematics","905","Philosophy of mathematics asks questions about mathematical theories and practices. It can include questions about the nature or reality of numbers, the ground and limits of formal systems and the nature of the different mathematical disciplines."
"reference-request","829","This tag should be used when the question is asking for specific references."
"philosophy-of-mind","764","Philosophy of mind is a branch of philosophy that studies the nature of the mind, mental events, mental functions, mental properties, consciousness, and their relationship to the physical body, particularly the brain."
"fallacies","597","concerns logical fallacies, which are errors in the logic or reasoning of an argument that result in a misconception or presumption.  The fallacies tag is also appropriate for analysis of tactics that may be applied deliberately to deceive.  For example, if tactical omissions in an argument motivate a member of the audience to try to fill in omitted elements, then this can be portrayed as a straw man attack against the creator of the argument."
"history-of-philosophy","589","The history of philosophy is the study of philosophical ideas and concepts through time. Issues specifically related to history of philosophy might include (but are not limited to): How can changes in philosophy be accounted for historically? What drives the development of thought in its historical context? To what degree can philosophical texts from prior historical eras be understood even today?"
"kant","572","Immanuel Kant was a German Enlightenment philosopher."
"ontology","542","Ontology is the study of the nature of being, existence or reality as such, as well as the basic categories of being and their relations."
"philosophy-of-language","501","for philosophical questions concerning the nature, origins, and usage of natural language"
"theology","460","Theology is the field of study and analysis that treats of God and of God's attributes and relations to the universe; the study of divine things or religious truth; divinity."
"philosophy-of-religion","423","Philosophy of religion is a branch of philosophy concerned with questions regarding religion, including the nature and existence of God, the examination of religious experience, analysis of religious vocabulary and texts, and the relationship of religion and science. Note that term is somewhat ambiguous as questions regarding atheism, secular humanism and agnosticism is included in the discipline."
"political-philosophy","407","Describing questions about the philosophy of politics and society which investigate concerns like liberty, justice and equality."
"terminology","400","The study of terms and their use."
"argumentation","386","The construction, deconstruction and  presentation of arguments for a position;"
"aristotle","383","Aristotle was a Greek philosopher, famous for his prolific writings on a vast array of subjects, including logic, ethics, aesthetics, metaphysics, politics, and even the natural sciences. He is widely considered a ""founding figure"" in Western philosophy."
"consciousness","359","Consciousness, and related notions like sentience and self-awareness, denote the capacity of certain organisms to express recognition of their own presence in the world."
"nietzsche","302","Friedrich Nietzsche (1844-1900) was a German philosopher and poet. Nietzsche is consistently one of the most widely-read philosophers, even among laymen; yet his work is often elliptical, even cryptic, and demands an unusual discipline with respect to reading and thinking. This contradiction may give some sense of the complexity and profundity of Nietzsche's powerful writing and explosive style. Much of his work can be understood as critique of nihilism."
"truth","299","Theories of truth deal with questions such as: what are truths? what makes them true? what is the relation between truths and the things that makes them true?

Not to be confused with ""what is the truth"", which is a completely different matter."
