tagName,Count,Excerpt
"quantum-mechanics","20619","Quantum mechanics describes the microscopic properties of nature in a regime where classical mechanics no longer applies. It explains phenomena such as the wave-particle duality, quantization of energy and the uncertainty principle and is generally used in single body systems. Use the quantum-field-theory tag for the theory of many-body quantum-mechanical systems."
"homework-and-exercises","17956","Applies to questions of primarily educational value - not only questions that arise from actual homework assignments, but any question where it is preferable to guide the asker to the answer rather than giving it away outright. Please READ THE GUIDANCE IN META before asking homework-like questions."
"newtonian-mechanics","13484","Newtonian mechanics covers the discussion of the movement of classical bodies under the influence of forces by making use of Newton’s three laws. For more general discussion of energy, momentum conservation etc., use classical-mechanics, for Newton’s description of gravity, use newtonian-gravity."
"electromagnetism","12222","The classical theory of electric and magnetic fields, both in the static and dynamic case. Also covers general questions about magnets, electric attraction/repulsion etc. Distinct from electrical-engineering."
"thermodynamics","9760","Covers the study of (mostly homogeneous) macroscopic systems from a heat/energy/entropy point of view. Consider also using tag: [statistical-mechanics]."
"quantum-field-theory","9147","Quantum Field Theory (QFT) is the theoretical framework describing the quantisation of classical fields which allows a Lorentz-invariant formulation of quantum mechanics. QFT is used both in high energy physics as well as condensed matter physics and closely related to statistical field theory. Use this tag for many-body quantum-mechanical problems and the theory of particle physics. Don’t combine with the [quantum-mechanics] tag."
"general-relativity","8927","A theory that describes how matter interacts dynamically with the geometry of space and time. It was first published by Einstein in 1915 and is currently used to study the structure and evolution of the universe, as well as having practical applications like GPS."
"special-relativity","7156","The special theory of relativity describes the motion and dynamics of objects moving at significant fractions of the speed of light."
"forces","5970","This tag is for the classical concept of forces, i.e. the quantities causing an acceleration of a body. It expands to the strong/electroweak force only insofar as they act comparable to ‘classical’ forces. Use the [particle-physics] tag for decay channels due to forces and [newtonian-mechanics] or one of the other subtopics of [classical-mechanics] for the dynamics of classical systems."
"classical-mechanics","5779","Classical mechanics discusses the behaviour of macroscopic bodies under the influence of forces (without necessarily specifying the origin of these forces). If it's possible, USE MORE SPECIFIC TAGS like [newtonian-mechanics], [lagrangian-formalism], and [hamiltonian-formalism]."
"optics","5330","Optics is the study of light, and its interaction with matter. It includes topics such as imaging systems, fiber optics, lasers, quantum optics, and more."
"electrostatics","5231","Electrostatics is concerned with the electrical fields and scalar potentials of stationary electrical charges and charge distributions. Use this for questions about electromagnetic situations in which currents and magnetic fields are absent, otherwise use the [electromagnetism] and/or [magnetic-fields] tags."
"energy","4799","Energy is the conserved quantity associated to time-translation invariance and represents the work a system is capable of doing. Use this tag for questions about energy, and consider adding the [energy-conservation] tag if it is specifically about its conservation."
"fluid-dynamics","4786","The quantitative study of how fluids (gases and liquids) move."
"particle-physics","4698","Particle physics is the study of the fundamental forces of nature as they are embodied in the interactions of elementary and composite particles at high energies and short time and distance scales."
"statistical-mechanics","4265","The study of large, complicated systems by means of statistics and probability theory, in order to extract average properties and to provide a connection between mechanics and thermodynamics."
"waves","3915","Waves are disturbances that propagate through space and time. Classically, they travelled through a medium, disturbing the particles but not changing their mean position. Electromagnetic waves/particle-waves need no medium; they are disturbances in their respective fields."
"cosmology","3849","The study of the large-scale structure, history, and future of the universe. Cosmology is about asking and answering questions about the ""big picture"" - the extent, origin, and fate of everything we know."
"gravity","3835","Gravity is an attractive force that affects  and is effected by all mass and - in general relativity - energy, pressure and stress. Prefer newtonian-gravity or general-relativity if sensible."
"visible-light","3830","Questions related to the perception and measurement of light (primarily in the visible range), its mathematical description, the reproduction of colors by different means, color combinations, etc. Please use the tag [electromagnetic-radiation] if you want to refer to the general form of light."
"electromagnetic-radiation","3765","Propagating solutions to Maxwell’s equations in classical electromagnetism and real photons in quantum electrodynamics. A superset of thermal-radiation."
"newtonian-gravity","3570","The Newtonian model of gravity in which the force between two objects is given by GMm/r^2."
