,publisher,genre,follows,followed by,part of the series,instance of,author,title,series ordinal,language of work or name,country of origin,derivative work,OCLC work ID,NooSFere book ID,publication date,Freebase ID,Open Library ID,has edition,OCLC control number,ISBN-13,page(s),original language of film or TV show,narrative location,ISBN-10,copyright status,characters,Internet Archive ID,main subject,NNL work ID,official website,set in period,distribution format,country,LibraryThing work ID,number of pages,subtitle,place of publication,Goodreads book ID,edition number,Google Books ID,described at URL,VIAF ID,Google Knowledge Graph ID,Babelio work ID,DNB editions,Wolfram Language entity code,illustrator,Library of Congress authority ID,ISFDB title ID,has part,image,inception,award received,GND ID,edition or translation of,editor,number of parts of this work of art,distributor,issue,full work available at,scanned file on Wikimedia Commons,BVMC work ID,SUDOC editions,Bibliothèque nationale de France ID,part of,volume,published in,takes place in fictional universe,copyright license,Commons category
0,Viking Press,adventure novel,Iceberg,Vixen 03,Dirk Pitt,written work,Clive Cussler,Raise the Titanic!,3,English,United States of America,Raise the Titanic,2542263621,17905,1976-01-01T00:00:00Z,/m/06gbj_,OL84918W,Raise the Titanic!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Viking Press,adventure novel,Iceberg,Vixen 03,Dirk Pitt,written work,Clive Cussler,Raise the Titanic!,3,English,United States of America,Raise the Titanic,2542263621,17905,1976-01-01T00:00:00Z,/m/06gbj_,OL84918W,Raise the Titanic!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Simon & Schuster,crime novel,The Mediterranean Caper,Raise the Titanic!,Dirk Pitt,written work,Clive Cussler,Iceberg,2,English,United States of America,,,,1975-01-01T00:00:00Z,/m/08h84f,OL3666474M,,34046230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Simon & Schuster,crime novel,The Mediterranean Caper,Raise the Titanic!,Dirk Pitt,written work,Clive Cussler,Iceberg,2,English,United States of America,,,,1975-01-01T00:00:00Z,/m/08h84f,OL3666474M,,34046230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Simon & Schuster,crime novel,The Mediterranean Caper,Raise the Titanic!,Dirk Pitt,written work,Clive Cussler,Iceberg,2,English,United States of America,,,,1975-01-01T00:00:00Z,/m/08h84f,OL3666474M,,34046230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Simon & Schuster,crime novel,The Mediterranean Caper,Raise the Titanic!,Dirk Pitt,written work,Clive Cussler,Iceberg,2,English,United States of America,,,,1975-01-01T00:00:00Z,/m/08h84f,OL3666474M,,34046230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Simon & Schuster,crime novel,The Mediterranean Caper,Raise the Titanic!,Dirk Pitt,written work,Clive Cussler,Iceberg,2,English,United States of America,,,,1975-01-01T00:00:00Z,/m/08h84f,OL3666474M,,34046230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,novel,,Sacred Stone,Oregon Files,written work,Craig Dirgo,Golden Buddha,1,English,United States of America,,3770772639,,2003-01-01T00:00:00Z,/m/02q0xbp,,,635660702,978-88-304-2219-3,420,English,People's Republic of China,88-304-2219-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,novel,,Sacred Stone,Oregon Files,written work,Craig Dirgo,Golden Buddha,1,English,United States of America,,3770772639,,2003-01-01T00:00:00Z,/m/02q0xbp,,,635660702,978-88-304-2219-3,420,English,People's Republic of China,88-304-2219-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,novel,,Sacred Stone,Oregon Files,written work,Craig Dirgo,Golden Buddha,1,English,United States of America,,3770772639,,2003-01-01T00:00:00Z,/m/02q0xbp,,,635660702,978-88-304-2219-3,420,English,People's Republic of China,88-304-2219-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,novel,,Sacred Stone,Oregon Files,written work,Craig Dirgo,Golden Buddha,1,English,United States of America,,3770772639,,2003-01-01T00:00:00Z,/m/02q0xbp,,,635660702,978-88-304-2219-3,420,English,People's Republic of China,88-304-2219-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,short story collection,Firewall,Before the Frost,Wallander novels,literary work,Henning Mankell,,9,Swedish,Sweden,,,,1999-01-01T00:00:00Z,/m/0477cs,,,,,,Swedish,Sweden,,copyrighted,Kurt Wallander,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,techno-thriller,,,Tom Clancy's Op-Center,book,Steve Pieczenik,Games of State,3,,,,,,1996-01-01T00:00:00Z,,,,,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,techno-thriller,,,Tom Clancy's Op-Center,book,Steve Pieczenik,Games of State,3,,,,,,1996-01-01T00:00:00Z,,,,,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Jove Books,adventure novel,,Iceberg,Dirk Pitt,written work,Clive Cussler,The Mediterranean Caper,1,English,United States of America,,568623,,1973-01-01T00:00:00Z,,OL84917W,,636554727,978-0-515-03179-9,,English,,0-515-03179-8,,Dirk Pitt,mediterraneancap00cliv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Jove Books,adventure novel,,Iceberg,Dirk Pitt,written work,Clive Cussler,The Mediterranean Caper,1,English,United States of America,,568623,,1973-01-01T00:00:00Z,,OL84917W,,636554727,978-0-515-03179-9,,English,,0-515-03179-8,,Dirk Pitt,mediterraneancap00cliv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,thriller,Skeleton Coast,Corsair,Oregon Files,written work,Clive Cussler,Plague Ship,5,English,United States of America,,119374945,,2008-06-03T00:00:00Z,,,,191882129,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,thriller,Skeleton Coast,Corsair,Oregon Files,written work,Clive Cussler,Plague Ship,5,English,United States of America,,119374945,,2008-06-03T00:00:00Z,,,,191882129,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,thriller,Skeleton Coast,Corsair,Oregon Files,written work,Clive Cussler,Plague Ship,5,English,United States of America,,119374945,,2008-06-03T00:00:00Z,,,,191882129,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,thriller,Skeleton Coast,Corsair,Oregon Files,written work,Clive Cussler,Plague Ship,5,English,United States of America,,119374945,,2008-06-03T00:00:00Z,,,,191882129,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,novel,Golden Buddha,Dark Watch,Oregon Files,written work,Clive Cussler,Sacred Stone,2,English,United States of America,,1026247,,2004-01-01T00:00:00Z,,OL84882W,,77792917,978-0-14-101032-8,,English,,0-14-101032-0,,,sacredstone2008cuss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Berkley Books,novel,Dark Watch,Plague Ship,Oregon Files,written work,Clive Cussler,Skeleton Coast,4,English,United States of America,,55501687,,2006-10-03T00:00:00Z,,,,70167720,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Berkley Books,novel,Dark Watch,Plague Ship,Oregon Files,written work,Clive Cussler,Skeleton Coast,4,English,United States of America,,55501687,,2006-10-03T00:00:00Z,,,,70167720,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Viking Press,crime novel,Raise the Titanic!,Night Probe!,Dirk Pitt,written work,Clive Cussler,,4,American English,United States of America,,516369,28892,1978-01-01T00:00:00Z,,OL7819988M,,4193140,978-0-670-74741-2,,,,0-670-74741-6,,,vixen0300bant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Viking Press,crime novel,Raise the Titanic!,Night Probe!,Dirk Pitt,written work,Clive Cussler,,4,American English,United States of America,,516369,28892,1978-01-01T00:00:00Z,,OL7819988M,,4193140,978-0-670-74741-2,,,,0-670-74741-6,,,vixen0300bant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,novel,Sacred Stone,Skeleton Coast,Oregon Files,book,Clive Cussler,Dark Watch,3,English,United States of America,,1959448,,2005-01-01T00:00:00Z,,,,224801645,,,English,Asia,,,,,slavery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,novel,Sacred Stone,Skeleton Coast,Oregon Files,book,Clive Cussler,Dark Watch,3,English,United States of America,,1959448,,2005-01-01T00:00:00Z,,,,224801645,,,English,Asia,,,,,slavery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,HarperCollins,techno-thriller,,,Tom Clancy's Op-Center,book,Tom Clancy,Tom Clancy's Op-Center: Acts of War,4,English,United States of America,,4535656873,,1997-01-01T00:00:00Z,,OL24199426M,,43221,978-0-00-225450-2,,English,,0-00-225450-6,,,actsofwar00clan_0,,002120602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,HarperCollins,techno-thriller,,,Tom Clancy's Op-Center,book,Tom Clancy,Tom Clancy's Op-Center: Acts of War,4,English,United States of America,,4535656873,,1997-01-01T00:00:00Z,,OL24199426M,,43221,978-0-00-225450-2,,English,,0-00-225450-6,,,actsofwar00clan_0,,002120602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Berkley Books,novel,Tom Clancy's Op-Center,,Tom Clancy's Op-Center,book,Jeff Rovin,Tom Clancy's Op-Center: Mirror Image,2,English,United States of America,,3943564558,,1995-11-01T00:00:00Z,,OL7503765M,,33182367,978-0-425-15014-6,,English,,0-425-15014-3,,,tomclancysopcent00clan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Berkley Books,novel,Tom Clancy's Op-Center,,Tom Clancy's Op-Center,book,Jeff Rovin,Tom Clancy's Op-Center: Mirror Image,2,English,United States of America,,3943564558,,1995-11-01T00:00:00Z,,OL7503765M,,33182367,978-0-425-15014-6,,English,,0-425-15014-3,,,tomclancysopcent00clan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Berkley Books,novel,Tom Clancy's Op-Center,,Tom Clancy's Op-Center,book,Jeff Rovin,Tom Clancy's Op-Center: Mirror Image,2,English,United States of America,,3943564558,,1995-11-01T00:00:00Z,,OL7503765M,,33182367,978-0-425-15014-6,,English,,0-425-15014-3,,,tomclancysopcent00clan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Berkley Books,novel,Tom Clancy's Op-Center,,Tom Clancy's Op-Center,book,Jeff Rovin,Tom Clancy's Op-Center: Mirror Image,2,English,United States of America,,3943564558,,1995-11-01T00:00:00Z,,OL7503765M,,33182367,978-0-425-15014-6,,English,,0-425-15014-3,,,tomclancysopcent00clan_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Berkley Books,novel,,Tom Clancy's Op-Center: Mirror Image,Tom Clancy's Op-Center,literary work,Steve Pieczenik,Tom Clancy's Op-Center,1,English,United States of America,,3943564558,,1995-02-01T00:00:00Z,,OL3667228M,,32465304,978-0-7862-0491-5,,English,,0-7862-0491-5,,,tomclancystateopcentclan,,001357441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Berkley Books,novel,,Tom Clancy's Op-Center: Mirror Image,Tom Clancy's Op-Center,literary work,Steve Pieczenik,Tom Clancy's Op-Center,1,English,United States of America,,3943564558,,1995-02-01T00:00:00Z,,OL3667228M,,32465304,978-0-7862-0491-5,,English,,0-7862-0491-5,,,tomclancystateopcentclan,,001357441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,thriller,The Silent Sea,Mirage,Oregon Files,book,Jack Du Brul,The Jungle,8,English,United States of America,,686256787,,2011-03-08T00:00:00Z,,,,646111811,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,thriller,The Silent Sea,Mirage,Oregon Files,book,Jack Du Brul,The Jungle,8,English,United States of America,,686256787,,2011-03-08T00:00:00Z,,,,646111811,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,thriller,The Silent Sea,Mirage,Oregon Files,book,Jack Du Brul,The Jungle,8,English,United States of America,,686256787,,2011-03-08T00:00:00Z,,,,646111811,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,thriller,Corsair,The Jungle,Oregon Files,literary work,Jack Du Brul,The Silent Sea,7,English,United States of America,,348580865,,2010-03-10T00:00:00Z,,,,426801783,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,thriller,Corsair,The Jungle,Oregon Files,literary work,Jack Du Brul,The Silent Sea,7,English,United States of America,,348580865,,2010-03-10T00:00:00Z,,,,426801783,,,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
